"Plasma and Lasers","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Plasma+and+Lasers","57","£36,318,282.00","£57,792,626.00"
"Plasmonics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Plasmonics","11","£6,740,210.00","£12,463,772.00"
"Polymer Materials","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Polymer+Materials","112","£52,527,758.00","£150,183,927.00"
"Process Systems: Components and Integration","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Process+Systems%3a+Components+and+Integration","118","£82,754,232.00","£191,171,869.00"
"Programming Languages and Compilers","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Programming+Languages+and+Compilers","67","£22,576,472.00","£64,076,165.00"
"Quantum Devices, Components and Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Quantum+Devices%2c+Components+and+Systems","45","£173,761,232.00","£191,139,184.00"
"Quantum Fluids and Solids","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Quantum+Fluids+and+Solids","14","£3,814,140.00","£10,735,695.00"
"Quantum Optics and Information","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Quantum+Optics+and+Information","75","£32,095,931.00","£97,781,225.00"
"Resource Efficiency","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Resource+Efficiency","21","£12,368,158.00","£37,272,275.00"
"RF & Microwave Devices","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=RF+%26amp%3b+Microwave+Devices","49","£18,283,483.00","£40,309,028.00"
"RF & MW Communications","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=RF+%26amp%3b+MW+Communications","51","£15,446,545.00","£46,832,845.00"
"Robotics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Robotics","67","£35,574,751.00","£83,947,026.00"
"Sensors and Instrumentation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Sensors+and+Instrumentation","73","£24,861,290.00","£73,398,737.00"
"Software Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Software+Engineering","76","£28,068,879.00","£78,483,567.00"
"Solar Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Solar+Technology","50","£33,433,797.00","£55,522,794.00"
"Speech Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Speech+Technology","5","£6,937,346.00","£8,202,491.00"
"Spintronics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Spintronics","37","£15,563,171.00","£38,378,082.00"
"Statistics and Applied Probability","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Statistics+and+Applied+Probability","102","£78,358,957.00","£164,799,971.00"
"Structural Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Structural+Engineering","53","£29,461,877.00","£50,541,494.00"
"Superconductivity","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Superconductivity","40","£14,036,500.00","£54,014,409.00"
"Surface Science","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Surface+Science","42","£15,289,299.00","£43,971,326.00"
"Sustainable Land Management","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Sustainable+Land+Management","24","£4,668,555.00","£46,200,500.00"
"Synthetic Biology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Synthetic+Biology","39","£45,108,587.00","£77,082,536.00"
"Synthetic Coordination Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Synthetic+Coordination+Chemistry","49","£20,403,872.00","£54,173,303.00"
"Synthetic Organic Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Synthetic+Organic+Chemistry","50","£28,873,147.00","£62,096,128.00"
"Synthetic Supramolecular Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Synthetic+Supramolecular+Chemistry","36","£11,998,367.00","£47,131,026.00"
"Theory of Computation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Theory+of+Computation","85","£23,165,225.00","£71,869,808.00"
"Transportation Operations and Management","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Transportation+Operations+and+Management","27","£4,973,729.00","£51,204,555.00"
"UK Magnetic Fusion Research Programme","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=UK+Magnetic+Fusion+Research+Programme","1","£184,590,000.00","£184,590,000.00"
"Verification and Correctness","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Verification+and+Correctness","93","£20,946,740.00","£72,279,316.00"
"Vision, Hearing and Other Senses","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Vision%2c+Hearing+and+Other+Senses","29","£7,176,939.00","£22,078,907.00"
"Water Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Water+Engineering","39","£29,405,928.00","£52,750,974.00"
"Whole Energy Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Whole+Energy+Systems","24","£36,108,467.00","£72,281,140.00"
"Wind Power","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Wind+Power","19","£21,556,637.00","£35,047,969.00"
