"-221519","milewski, professor pa","2","£4,088,345.00"
"-272444","yan, dr x","1","£1,395,661.00"
"-246185","williams, dr ga","1","£893,883.00"
"-224809","lorenz, dr c","3","£4,444,026.00"
"-323578","williams, dr a","1","£586,822.00"
"29356","jennings, professor nr","4","£5,712,850.00"
"66096","bahai, professor h","1","£582,939.00"
"-388427","niu, dr x","1","£678,310.00"
"100807","campbell, dr aj","1","£355,949.00"
"-504693","kyte, mr a","1","£483,159.00"
"105371","king, professor r","1","£150,000.00"
"-492429","allan, dr gj","1","£302,477.00"
"-420556","yang, dr j","1","£292,576.00"
"55032","keating, professor j","1","£2,246,114.00"
"-203954","phan, professor rc","1","£2,150,653.00"
"5579","frey, professor jg","2","£2,086,744.00"
"-136595","pullan, dr g","1","£5,245,734.00"
"30827","henning, professor i","2","£7,964,094.00"
"-186148","gouldson, professor a","1","£3,567,862.00"
"11136","morgan, professor h","2","£1,019,453.00"
"58194","farnan, dr i","3","£7,644,862.00"
"23970","emery, professor vc","1","£11,057,929.00"
"-188126","sharrad, dr ca","1","£3,053,898.00"
"44175","harvey, professor a","1","£4,884,594.00"
"114691","clarke, dr ml","2","£2,638,488.00"
"-79345","titheridge, dr h","2","£11,782,571.00"
"-492722","hammond, dr c","1","£874,075.00"
"-27474","rankin, professor sm","1","£1,057,128.00"
"-481479","karimi, dr n","2","£1,712,789.00"
"-530923","croucher, dr m","3","£1,562,100.00"
"-208196","druckman, dr a","1","£1,408,691.00"
"-213750","matthews, professor p","2","£6,220,950.00"
"-11230","dimitriou, professor h","1","£3,444,605.00"
"-149568","arcaute, dr e","1","£4,000,602.00"
"5975","glazebrook, professor kd","3","£10,652,558.00"
"71357","james, professor s","1","£450,811.00"
"99124","dixon, professor dj","1","£4,808,967.00"
"11321","mulvey, professor r","1","£379,517.00"
"17694","young, professor ga","1","£150,000.00"
"-217877","murnane, dr d","2","£2,064,323.00"
"-481535","chana, dr d","1","£203,506.00"
"7979","hyde, professor th","1","£1,997,000.00"
"-198498","bowes, dr dh","1","£394,316.00"
"16561","wark, professor j","3","£1,122,147.00"
"-355876","de cendra de larragán, dr f","1","£5,745,855.00"
"96441","mailis, dr s","1","£570,518.00"
"9846","macaskie, professor le","1","£257,195.00"
"-288512","prise, professor k","1","£4,576,908.00"
"-435093","paluszny rodriguez, dr a","1","£925,473.00"
"82846","joyce, professor d","1","£1,859,687.00"
"71248","levi, professor m","2","£1,861,772.00"
"71083","ryan, professor m","2","£1,439,509.00"
"-124389","reed, dr dj","2","£4,437,185.00"
"37835","kearney, professor m","2","£1,302,508.00"
"40395","hewak, professor d","7","£16,824,220.00"
"37755","carbery, professor a","2","£4,693,507.00"
"53333","petzing, dr j","1","£291,227.00"
"-109550","richards, dr a","2","£5,747,878.00"
"57961","lazic, dr r","1","£229,281.00"
"5961","gladden, professor l","6","£11,376,528.00"
"43821","taylor, professor k","1","£1,330,813.00"
"-92132","selby, professor j","1","£3,937,512.00"
"-176340","woods, dr s","1","£4,353,851.00"
"8088","islam, professor ms","4","£14,361,284.00"
"-499097","davies, dr m","1","£1,131,830.00"
"14826","soraghan, professor j","2","£2,710,815.00"
"-6825","waldron, professor s","1","£446,638.00"
"-2641","piggott, professor md","2","£1,722,071.00"
"84766","macneil, professor s","3","£4,106,366.00"
"-75908","pearson, professor ar","1","£1,491,903.00"
"68130","brandon, professor np","12","£34,376,882.00"
"54555","ryan, professor m","2","£435,280.00"
"-118399","knight, dr v","1","£1,016,595.00"
"42271","silva, professor srp","1","£398,623.00"
"103969","nightingale, professor p","2","£4,383,994.00"
"103868","urry, distinguished professor j","1","£6,316,426.00"
"-420667","coppens, professor m","3","£8,743,453.00"
"77725","kohanoff, professor j","2","£436,333.00"
"-405938","geretti, professor a","1","£1,333,141.00"
"-271697","eccles, professor h","1","£183,809.00"
"-6396","simpson, dr dm","2","£1,233,588.00"
"95574","armour, dr smd","1","£853,379.00"
"89691","chen, professor r","1","£1,004,390.00"
"45348","halsall, professor mp","1","£1,293,323.00"
"43771","rees, dr jm","1","£932,491.00"
"-170420","yamagishi, dr j","2","£6,977,267.00"
"-79678","wilson, dr m","3","£6,187,268.00"
"-289013","leiponen, dr a","1","£5,930,480.00"
"79372","mcinnes, professor ejl","2","£890,998.00"
"2715","chalmers, professor a","1","£840,940.00"
"117293","allwood, professor da","1","£523,055.00"
"11746","odonnell, professor k","1","£508,002.00"
"46028","van der hart, professor h","1","£101,608.00"
"16932","white, professor i","3","£11,339,479.00"
"-6727","souza, professor aj","1","£1,415,336.00"
"117271","vanderbauwhede, dr w","2","£3,305,362.00"
"6602","hall, professor pj","7","£25,469,374.00"
"-190482","wang, dr w","3","£4,282,847.00"
"4871","elston, professor sj","1","£347,004.00"
"-189890","goodwin, professor al","1","£1,221,082.00"
"-142355","cassidy, dr d","1","£693,517.00"
"15482","tarassenko, professor l","2","£1,601,681.00"
"94881","weinstein, professor ja","3","£1,352,915.00"
"-401170","payne, dr dj","5","£4,209,513.00"
"-104747","connon, professor cj","1","£1,185,824.00"
"6728","hankin, professor c","3","£6,890,002.00"
"73952","sazio, dr p","1","£486,940.00"
"107295","morantz, mr p","3","£12,338,826.00"
"122942","degenaar, dr p","1","£4,980,126.00"
"-211444","du, dr z","2","£10,423,420.00"
"59145","roy, professor r","1","£5,834,394.00"
"-491782","bolton, dr r","1","£580,962.00"
"78301","kraft, professor m","1","£112,759.00"
"48362","murphy, professor dm","2","£522,270.00"
"-88122","tomaney, professor j","1","£3,567,862.00"
"93053","williamson, professor p","1","£2,004,298.00"
"71224","bagnall, professor d","1","£4,088,360.00"
"-439815","camporota, dr l","1","£629,187.00"
"106001","o'neill, professor m","1","£5,032,504.00"
"50184","pavic, professor a","1","£4,859,494.00"
"41455","parry, professor ao","1","£1,616,110.00"
"13938","saunders, professor j","2","£7,716,739.00"
"-12936","terras, dr mm","1","£4,715,727.00"
"-272433","thomas, dr s","1","£662,804.00"
"-459068","woods, dr r","1","£5,292,695.00"
"107924","bennell, professor j","1","£285,247.00"
"12426","phillips, professor tn","1","£397,424.00"
"-225252","tonin, dr m","1","£662,804.00"
"-547284","fingerhuth, dr s","1","£246,258.00"
"119193","ajioka, dr jw","2","£10,082,032.00"
"-255930","aste, dr t","2","£5,129,807.00"
"2018","brouard, professor m","1","£4,663,077.00"
"55504","yang, professor z","1","£671,814.00"
"52694","priest, professor m","1","£3,519,548.00"
"-117033","sniehotta, dr f","1","£4,051,357.00"
"-30909","sharkey, dr kj","1","£2,004,298.00"
"-215131","dromey, dr b","2","£1,314,378.00"
"106527","levine, professor m","2","£2,301,031.00"
"-278130","klecun, dr e","1","£694,954.00"
"-440168","shaw, dr ph","1","£559,077.00"
"114701","smith, dr ap","1","£3,539,215.00"
"-64990","adams, dr wj","1","£505,830.00"
"109713","walton, dr a","1","£83,089.00"
"16509","walton, professor aj","4","£10,035,606.00"
"50835","steadman, professor p","2","£1,611,857.00"
"27794","mottershead, professor j","2","£4,680,854.00"
"38007","mullis, professor am","1","£10,138,665.00"
"-221986","anandarajah, dr g","1","£1,683,873.00"
"56480","crisan, professor d","2","£6,237,334.00"
"76520","denham, professor sl","1","£1,202,384.00"
"44257","harding, professor j","1","£384,733.00"
"-546606","sasaki, dr s","1","£811,642.00"
"-325092","guerra, dr n","1","£1,255,009.00"
"127861","forsyth, professor a","7","£20,862,552.00"
"-228147","muskens, professor o","2","£5,505,602.00"
"82722","su, dr y","2","£611,246.00"
"106698","morris, dr ka","2","£3,676,258.00"
"115780","parnell, dr w","2","£1,355,447.00"
"-230056","cook, professor b","3","£1,716,575.00"
"60732","norman, professor r","1","£150,000.00"
"-182073","hanany, professor a","1","£1,582,438.00"
"-218294","zhang, dr j","1","£1,007,562.00"
"-15103","drage, dr t","4","£10,940,802.00"
"-364755","georgiou, dr p","3","£2,373,925.00"
"-6910","comber, professor a","1","£2,690,768.00"
"56939","aggeli, dr a","1","£991,843.00"
"-431372","roldan, dr a","1","£1,296,214.00"
"14049","scott, professor m","3","£3,250,990.00"
"-200592","wolf, professor a","2","£3,267,224.00"
"73469","forbes, dr i","1","£2,012,697.00"
"112934","karunarathna, dr gh","1","£947,656.00"
"21338","booker-milburn, professor ki","2","£13,354,676.00"
"-516991","van der weijde, dr a","2","£6,461,392.00"
"-192969","mallick, professor tk","5","£6,192,487.00"
"-116491","richardson, professor m","1","£2,008,955.00"
"-11028","yang, professor k","2","£1,698,206.00"
"45110","scott, professor pj","1","£4,834,361.00"
"-88091","pike, professor a","1","£3,567,862.00"
"9723","loveday, professor d","2","£5,795,308.00"
"-504558","syed, dr a","1","£20,610.00"
"-121731","burns, dr i","2","£1,287,285.00"
"124428","khamas, dr s","1","£328,909.00"
