Id	Label	Num
10774	professor jh merkin	0	
1941	professor j brindley	0	
4603	professor j dyke	0	
782	professor g balint-kurti	0	
4792	professor d elliman	0	
10200	dr r marston	0	
2002	dr r brooks	0	
4050	professor a de silva	0	
49658	professor p popelier	2	
-3093	dr ar allen	0	
12536	professor ma player	0	
8016	professor d imrie	0	
12828	professor m prutton	0	
4769	professor m el-gomati	0	
9280	professor rm lea	0	
8147	dr i jalowiecki	0	
21742	dr i jalowiecki	0	
5270	professor r fisher	1	
6628	professor j hallam	0	
959	professor p barrett	0	
54722	professor mg ormerod	0	
54723	miss r newton	0	
41099	professor e fraga	5	
5424	professor t forsyth	0	
36066	dr a mahendrasingam	0	
5621	professor w fuller	0	
6655	dr i hamerton	0	
9072	professor c kuo	0	
7052	professor g hayward	0	
39292	dr a langley	0	
38008	professor d riley	2	
11522	professor wr newell	0	
9313	professor k ledingham	0	
46813	dr s preston	0	
17138	professor id williams	0	
3119	professor k codling	0	
46810	dr p taday	0	
44424	dr i ross	0	
50260	dr m wheel	0	
5056	professor mc fairhurst	0	
9335	dr p lee	0	
7646	dr e horne	0	
7511	dr dj holding	0	
2573	dr g carpenter	0	
15405	professor j swithenbank	0	
12781	dr gh priestman	0	
12806	professor s probert	0	
29509	professor a ivankovic	0	
8089	dr r issa	1	
9366	dr p leevers	0	
1408	professor d birch	0	
14331	professor dc sherrington	0	
36038	professor b imhof	0	
17511	professor mm woolfson	0	
4142	professor pj derrick	0	
3615	professor d crout	0	
8293	professor k jennings	0	
3762	professor h dalton	0	
29623	professor j tah	0	
75991	professor r howes	0	
7746	professor r howes	0	
50844	professor m browne	0	
32377	professor p jones	0	
-119801	professor pm jones	1	
29307	professor p treleaven	15	
43613	professor sa schneider	8	
10528	dr d mcghee	0	
38341	dr m sutcliffe	3	
21318	professor g sampson	0	
1401	professor c binns	0	
40029	dr d holland	0	
69810	dr d holland	0	
24978	professor c latimer	0	
-167029	dr nsc dalton	0	
12295	professor a penn	12	
22089	dr d van vliet	0	
7077	professor ge hearn	0	
16243	dr k varyani	0	
44626	professor a incecik	3	
590	professor ga attard	0	
16847	dr p whalley	0	
3804	professor rc darton	0	
8754	professor dbr kenning	3	
34809	professor gc allen	0	
9113	professor yw lam	0	
-250362	professor c collier	0	
14765	professor ce snape	8	
7937	professor g hutchings	9	
5300	professor n fleck	3	
38654	professor a kelly	0	
26125	professor j colligon	0	
2615	professor g carter	0	
4332	professor s donnelly	1	
98427	professor jl henshall	0	
12490	professor rj pine	0	
16377	professor r wakeman	0	
17240	dr b wills	0	
27951	mr a beer	0	
17730	professor a yule	0	
776	professor j baldwin	0	
30719	professor t martin	1	
-122094	dr r shuttleworth	2	
16240	professor b varlow	0	
629	dr b axcell	0	
50284	professor g fairhurst	0	
21299	professor g tomlinson	0	
25230	professor sa billings	1	
23354	dr k jones	0	
12075	professor g parker	0	
14455	dr c simpson	0	
28303	dr pe dunne	0	
5839	professor a gibbons	0	
14993	professor pk stansby	2	
9409	professor m leschziner	6	
38272	dr f lien	0	
33041	dr c morley	2	
14785	professor m sobhy	0	
38047	professor s lappin	0	
12629	professor k porter	0	
15041	professor r steele	0	
3565	dr a crispin	0	
15579	professor g taylor	0	
2919	professor c christopoulos	0	
14060	professor ns scott	1	
4336	dr p donovan	0	
12367	professor a petford-long	0	
6958	dr j hatfield	0	
12350	professor kc persaud	2	
12210	professor p payne	0	
11983	dr i page	0	
45378	dr a stevens	0	
6120	professor m gordon	1	
5825	professor m ghanbari	0	
2779	mr r chapman	0	
44789	professor pr raithby	7	
8511	professor w jones	0	
7946	dr jl hutchison	0	
6323	professor mlh green	0	
4136	professor b derby	11	
16707	professor c webb	0	
11579	professor jr nicholls	10	
35479	professor p williams	0	
-417231	dr r mackay	0	
65834	mr j wilkinson	0	
1216	professor sj bending	5	
14941	dr  squire	0	
34855	dr sr andrews	0	
5025	professor j evetts	0	
1352	professor h bhadeshia	4	
1509	professor m blamire	3	
6357	professor al greer	0	
25929	dr z barber	1	
7022	professor s hayden	3	
40014	dr tg perring	0	
3036	professor w clegg	0	
48640	professor s hasnain	0	
49254	mr ge derbyshire	0	
49255	dr r strange	0	
49256	dr p roach	0	
49257	professor g sankar	7	
13052	professor t rayment	0	
23065	professor cj schofield	3	
