Source	Target	Type	Weight	TotalVal
23	91	Undirected	1.0	756016
23	93	Undirected	1.0	841259
23	96	Undirected	1.0	5374638
23	100	Undirected	1.0	756016
23	101	Undirected	1.0	507675
23	105	Undirected	7.0	15402117
23	109	Undirected	4.0	7931505
23	110	Undirected	5.0	11145315
23	113	Undirected	1.0	98564
23	114	Undirected	3.0	2746465
23	115	Undirected	5.0	8631335
23	117	Undirected	2.0	4749073
23	119	Undirected	4.0	13755997
23	120	Undirected	3.0	7272647
24	25	Undirected	26.0	16777631
24	26	Undirected	11.0	546881
24	29	Undirected	1.0	397354
24	34	Undirected	4.0	1361847
24	39	Undirected	1.0	507675
24	43	Undirected	4.0	16496763
24	45	Undirected	4.0	9609828
24	55	Undirected	1.0	488453
24	62	Undirected	15.0	16460257
24	65	Undirected	4.0	5453827
24	68	Undirected	2.0	1083401
24	76	Undirected	1.0	3868978
24	87	Undirected	2.0	8878056
24	90	Undirected	6.0	11162584
24	91	Undirected	4.0	11654736
24	100	Undirected	3.0	1690202
24	101	Undirected	1.0	507675
24	108	Undirected	6.0	4865542
24	110	Undirected	2.0	522814
24	111	Undirected	1.0	1908377
24	112	Undirected	2.0	1112704
24	113	Undirected	2.0	1060300
24	119	Undirected	1.0	491232
25	26	Undirected	40.0	50280573
25	34	Undirected	1.0	6150850
25	37	Undirected	1.0	147434
25	40	Undirected	1.0	477780
25	42	Undirected	1.0	147434
25	43	Undirected	9.0	27321521
25	45	Undirected	7.0	11669486
25	55	Undirected	3.0	864866
25	60	Undirected	1.0	6418295
25	61	Undirected	1.0	6418295
25	62	Undirected	19.0	23978751
25	63	Undirected	1.0	477780
25	65	Undirected	1.0	3868978
25	66	Undirected	2.0	1581518
25	70	Undirected	1.0	6382161
25	75	Undirected	4.0	7347212
25	76	Undirected	1.0	3868978
25	87	Undirected	9.0	28473405
25	88	Undirected	3.0	1121752
25	90	Undirected	5.0	16492726
25	92	Undirected	1.0	715138
25	93	Undirected	7.0	12687309
25	94	Undirected	7.0	6682761
25	95	Undirected	10.0	25204051
25	98	Undirected	1.0	811642
25	102	Undirected	1.0	147434
25	104	Undirected	11.0	23532702
25	107	Undirected	22.0	30936600
25	108	Undirected	4.0	8062363
25	111	Undirected	2.0	617084
25	113	Undirected	1.0	5296044
26	34	Undirected	1.0	6150850
26	40	Undirected	1.0	477780
26	43	Undirected	13.0	25989794
26	45	Undirected	3.0	5210952
26	59	Undirected	1.0	61102
26	60	Undirected	1.0	6418295
26	61	Undirected	2.0	6621305
26	62	Undirected	19.0	20358929
26	63	Undirected	1.0	477780
26	68	Undirected	1.0	441476
26	70	Undirected	4.0	847490
26	71	Undirected	1.0	61102
26	75	Undirected	2.0	843401
26	82	Undirected	3.0	4016423
26	83	Undirected	3.0	1069717
26	87	Undirected	3.0	15458565
26	89	Undirected	2.0	1145264
26	90	Undirected	4.0	12817962
26	94	Undirected	3.0	4223260
26	95	Undirected	6.0	7233435
26	98	Undirected	1.0	811642
26	104	Undirected	19.0	13949798
26	107	Undirected	20.0	39501067
26	108	Undirected	4.0	8107756
26	111	Undirected	3.0	1158126
27	29	Undirected	1.0	397424
27	40	Undirected	9.0	10216377
27	44	Undirected	10.0	10189504
27	56	Undirected	8.0	9468288
27	61	Undirected	1.0	95699
27	63	Undirected	12.0	10824684
27	64	Undirected	2.0	1282030
27	65	Undirected	5.0	7928718
27	66	Undirected	8.0	9468288
27	71	Undirected	2.0	2013534
27	76	Undirected	26.0	23954876
27	78	Undirected	8.0	9468288
27	79	Undirected	14.0	20861614
27	80	Undirected	3.0	8216450
27	85	Undirected	1.0	769539
27	87	Undirected	1.0	2551402
27	91	Undirected	1.0	397424
27	105	Undirected	9.0	15563399
28	33	Undirected	3.0	1047083
28	35	Undirected	1.0	1668848
28	36	Undirected	2.0	1150322
28	37	Undirected	1.0	179235
28	38	Undirected	3.0	4480642
28	39	Undirected	6.0	6526092
28	40	Undirected	6.0	2556784
28	49	Undirected	4.0	8725204
28	51	Undirected	6.0	10582557
28	52	Undirected	2.0	1611834
28	53	Undirected	4.0	16038090
28	57	Undirected	6.0	12049248
28	60	Undirected	1.0	995080
28	61	Undirected	1.0	995080
28	65	Undirected	1.0	3610642
28	67	Undirected	2.0	4586432
28	69	Undirected	3.0	6644338
28	70	Undirected	1.0	995080
28	71	Undirected	1.0	1194109
28	76	Undirected	1.0	3768933
28	80	Undirected	3.0	8748521
28	82	Undirected	1.0	995080
28	84	Undirected	1.0	995080
28	85	Undirected	5.0	6401686
28	86	Undirected	3.0	9559082
