"GR/S70289/01","[['williams, professor jm', '17146'], ['kohn, dr r', '85160'], ['burrows, professor a', '49125'], ['whittlesey, professor m', '50725'], ['frost, professor cg', '48452'], ['davidson, professor mg', '42725'], ['raithby, professor pr', '44789'], ['james, professor t', '42529'], ['bull, dr sd', '89626'], ['molloy, professor kc', '11031'], ['willis, professor m', '55264'], ['wilson, dr pj', '110554'], ['weller, professor a', '71061']]"
"EP/G030871/1","[['bagnaninchi, dr po', '-203186']]"
"EP/D04779X/1","[['whittlesey, professor m', '50725'], ['kohn, dr r', '85160'], ['bull, dr sd', '89626'], ['willis, professor m', '55264'], ['frost, professor cg', '48452'], ['williams, professor jm', '17146'], ['danson, professor mj', '3790'], ['weller, professor a', '71061']]"
"GR/S20505/01","[['knight, professor dw', '8956']]"
"GR/R89837/01","[['wimperis, professor s', '33883'], ['bruce, professor d', '2126'], ['coldham, professor i', '3146'], ['lowden, dr pas', '78940'], ['littlechild, professor ja', '9583'], ['shipman, professor m', '27155'], ['moody, professor cj', '11076'], ['walton, professor ri', '89284'], ['tucker, professor jh', '43131']]"
"GR/T19742/01","[['van der hoek, professor w', '83419'], ['mcburney, professor p', '89198']]"
"GR/R83330/01","[["d'inverno, professor m", '51628']]"
"GR/R11216/01","[['loizou, professor g', '59702']]"
"GR/R96514/01","[['dixon, dr cl', '53674'], ['hustadt, dr u', '82388'], ['fisher, professor m', '29766']]"
"GR/R04324/01","[['harrison, dr mf', '44636']]"
"GR/R04089/01","[['harrison, professor a', '30396'], ['mcewen, professor k', '10513'], ['radaelli, professor p', '58058']]"
"GR/R12695/01","[['bull, professor j', '32184'], ['leighton, professor t', '22007'], ['white, professor pr', '26632'], ['dix, dr j', '32186'], ['henstock, professor t', '81417']]"
"EP/D030781/1","[['withers, professor p', '17379'], ['kelly, dr sm', '8714'], ['stanley, dr d r', '-55699']]"
"EP/E03697X/1","[['ward, professor md', '16533'], ['mann, professor be', '10076'], ['hunter, professor ca', '21348'], ['armes, professor sp', '434'], ['coldham, professor i', '3146'], ['brammer, professor l', '82213']]"
"EP/F013515/1","[['simpson, professor tj', '14472'], ['booker-milburn, professor ki', '21338'], ['butts, dr cp', '79581'], ['crump, professor m', '-25040']]"
"GR/S74126/01","[['birkinshaw, professor k', '1429'], ['farrow, mr r', '66225'], ['evans, professor a', '67002']]"
"GR/R47769/01","[['godby, professor rw', '40092'], ['woolsey, professor n', '81294'], ['greenall, dr r', '6327'], ['main, dr p', '10005'], ['probert, dr m', '61373'], ['tallents, professor g', '21442']]"
"EP/G070466/1","[['constandinou, dr tg', '-110248']]"
"DT/E010415/1","[['edwards, professor r', '91993']]"
"EP/F055579/1","[['mcdaid, professor lj', '-8873'], ['kelly, mr p', '-8737']]"
"EP/F05551X/1","[['hall, professor s', '6605'], ['buiu, dr o', '94733'], ['marsland, dr j', '10195']]"
"EP/E040918/1","[['rodriguez y baena, dr fm', '-118428']]"
"EP/C510097/1","[['richardson, professor r', '122537']]"
"EP/F034253/1","[['braddock, dr dc', '53020']]"
"EP/G005451/1","[['tiwari, professor a', '109496'], ['mehnen, dr j', '-198610']]"
"DT/F00267X/1","[['james, professor t', '42529']]"
"GR/R08346/01","[['schroder, professor m', '14032'], ['pattenden, professor g', '12170'], ['garner, professor c d', '5735'], ['blake, professor aj', '46296'], ['garner, professor d', '75644']]"
"GR/R11506/01","[['salih, dr v', '81032']]"
