Source	Target	Type	Weight
51400	44159	Undirected	1.0
44159	56645	Undirected	1.0
5004	31813	Undirected	2.0
66681	12009	Undirected	1.0
66681	44998	Undirected	1.0
12009	48432	Undirected	1.0
12009	6958	Undirected	1.0
48432	6958	Undirected	1.0
13554	10721	Undirected	1.0
13554	66371	Undirected	1.0
10721	31306	Undirected	1.0
10721	17318	Undirected	1.0
31306	17318	Undirected	1.0
5779	2259	Undirected	1.0
27483	49400	Undirected	1.0
9842	3216	Undirected	1.0
9166	8992	Undirected	1.0
591	33993	Undirected	1.0
29058	33993	Undirected	1.0
33993	26031	Undirected	2.0
8421	12053	Undirected	1.0
12053	11168	Undirected	1.0
2456	21334	Undirected	4.0
9554	39586	Undirected	1.0
39586	39587	Undirected	1.0
13767	56722	Undirected	6.0
13767	56720	Undirected	1.0
56722	17710	Undirected	3.0
56722	34838	Undirected	3.0
17710	34838	Undirected	2.0
56720	13767	Undirected	1.0
56720	17710	Undirected	1.0
13767	17710	Undirected	3.0
5541	11435	Undirected	3.0
11435	7510	Undirected	1.0
38499	3965	Undirected	2.0
3965	56720	Undirected	1.0
8082	15544	Undirected	1.0
40189	15544	Undirected	2.0
15544	48876	Undirected	1.0
11262	-11490	Undirected	1.0
11262	13389	Undirected	1.0
-11490	6573	Undirected	1.0
-11490	36749	Undirected	1.0
6573	36749	Undirected	1.0
6958	16289	Undirected	1.0
51351	45006	Undirected	1.0
51351	11484	Undirected	1.0
51351	31961	Undirected	1.0
7713	45006	Undirected	1.0
7713	11484	Undirected	1.0
7713	31961	Undirected	1.0
45006	58058	Undirected	1.0
45006	60514	Undirected	1.0
45006	35872	Undirected	1.0
58058	60514	Undirected	1.0
58058	35872	Undirected	1.0
11484	31961	Undirected	1.0
60514	31961	Undirected	1.0
31961	35872	Undirected	1.0
31942	41598	Undirected	1.0
10113	13495	Undirected	1.0
12031	11855	Undirected	1.0
21587	21589	Undirected	1.0
8523	56722	Undirected	2.0
10538	34897	Undirected	1.0
34897	25793	Undirected	1.0
2779	10186	Undirected	1.0
1443	62734	Undirected	1.0
9163	62734	Undirected	3.0
62734	17645	Undirected	1.0
57841	7022	Undirected	4.0
7022	29563	Undirected	3.0
21278	37273	Undirected	3.0
21278	65711	Undirected	3.0
17290	13539	Undirected	2.0
3706	7034	Undirected	2.0
21278	-115132	Undirected	3.0
7014	43727	Undirected	1.0
43727	12585	Undirected	2.0
5181	39534	Undirected	1.0
506	1800	Undirected	3.0
1800	26927	Undirected	5.0
16244	9361	Undirected	1.0
21278	34596	Undirected	5.0
34596	45312	Undirected	1.0
118	15850	Undirected	1.0
14281	44684	Undirected	1.0
13262	14911	Undirected	1.0
86750	2773	Undirected	1.0
33110	2773	Undirected	1.0
2773	13148	Undirected	1.0
34569	7264	Undirected	1.0
42906	10113	Undirected	3.0
26927	2919	Undirected	1.0
2919	15671	Undirected	5.0
-206573	43587	Undirected	2.0
22389	27708	Undirected	1.0
27708	57869	Undirected	1.0
7866	48520	Undirected	1.0
4579	424	Undirected	1.0
12392	46579	Undirected	1.0
10490	9636	Undirected	1.0
16130	74102	Undirected	2.0
16130	6851	Undirected	1.0
16130	2810	Undirected	1.0
74102	6851	Undirected	1.0
74102	2810	Undirected	1.0
13542	11489	Undirected	2.0
6851	11489	Undirected	1.0
11489	2810	Undirected	1.0
12687	13476	Undirected	2.0
72933	13476	Undirected	1.0
13476	16911	Undirected	3.0
7904	9611	Undirected	2.0
7904	7225	Undirected	2.0
9611	46907	Undirected	1.0
9611	41154	Undirected	1.0
46907	41154	Undirected	1.0
39862	22045	Undirected	1.0
11216	32043	Undirected	1.0
2132	17270	Undirected	1.0
15763	1909	Undirected	4.0
34659	3386	Undirected	6.0
1807	3386	Undirected	1.0
3386	16286	Undirected	1.0
17599	12677	Undirected	2.0
67850	52895	Undirected	1.0
9859	40596	Undirected	1.0
21247	6863	Undirected	1.0
11522	15331	Undirected	2.0
11522	52794	Undirected	5.0
11522	27281	Undirected	1.0
11522	11110	Undirected	1.0
11522	15213	Undirected	2.0
7861	15331	Undirected	2.0
7861	52794	Undirected	2.0
7861	27281	Undirected	1.0
7861	11110	Undirected	1.0
7861	15213	Undirected	2.0
15331	9182	Undirected	2.0
15331	2803	Undirected	2.0
15331	10259	Undirected	2.0
15331	15622	Undirected	2.0
15331	11139	Undirected	3.0
9182	2803	Undirected	3.0
9182	10259	Undirected	2.0
9182	15622	Undirected	2.0
9182	11139	Undirected	2.0
52794	27281	Undirected	1.0
52794	11110	Undirected	1.0
52794	15213	Undirected	2.0
2803	27281	Undirected	1.0
2803	11110	Undirected	1.0
2803	15213	Undirected	2.0
27281	10259	Undirected	1.0
27281	15622	Undirected	1.0
27281	11139	Undirected	1.0
10259	15622	Undirected	2.0
10259	11139	Undirected	2.0
11110	15213	Undirected	1.0
15622	15213	Undirected	3.0
15213	11139	Undirected	2.0
11522	7861	Undirected	2.0
11522	9182	Undirected	2.0
11522	15539	Undirected	1.0
11522	11139	Undirected	2.0
7861	9182	Undirected	2.0
7861	15539	Undirected	1.0
7861	11139	Undirected	2.0
11061	9182	Undirected	1.0
11061	2803	Undirected	1.0
11061	15539	Undirected	3.0
11061	15213	Undirected	1.0
15331	17319	Undirected	1.0
15331	15539	Undirected	1.0
17319	9182	Undirected	1.0
17319	2803	Undirected	1.0
17319	15539	Undirected	1.0
17319	15213	Undirected	1.0
9182	52794	Undirected	2.0
52794	2803	Undirected	2.0
52794	15622	Undirected	2.0
2803	15539	Undirected	1.0
2803	11139	Undirected	2.0
15539	15622	Undirected	4.0
15539	11139	Undirected	3.0
15622	15331	Undirected	2.0
8492	7360	Undirected	1.0
10558	14354	Undirected	1.0
2253	42684	Undirected	4.0
2031	34350	Undirected	1.0
34350	21223	Undirected	1.0
7956	21965	Undirected	2.0
14303	21965	Undirected	1.0
21965	22164	Undirected	1.0
9444	11215	Undirected	1.0
9444	6201	Undirected	1.0
38008	23855	Undirected	1.0
11215	23855	Undirected	1.0
23855	6201	Undirected	1.0
3827	32190	Undirected	1.0
15663	21241	Undirected	2.0
21241	66089	Undirected	1.0
16440	10807	Undirected	1.0
9098	12107	Undirected	1.0
1080	10525	Undirected	2.0
2291	3610	Undirected	1.0
3610	8889	Undirected	3.0
3610	24554	Undirected	1.0
3610	7249	Undirected	2.0
