Source	Target	Type	Weight
-120212	78875	Undirected	4.0
-120212	42780	Undirected	4.0
-120212	-161344	Undirected	4.0
-120212	41915	Undirected	4.0
-120212	42031	Undirected	4.0
-120212	9409	Undirected	4.0
-120212	13957	Undirected	4.0
-120212	55914	Undirected	4.0
-120212	101564	Undirected	4.0
-120212	24189	Undirected	4.0
-120212	56727	Undirected	4.0
-120212	113809	Undirected	4.0
-120212	17143	Undirected	4.0
-120212	-393156	Undirected	4.0
-120212	55710	Undirected	4.0
-120212	58157	Undirected	4.0
-120212	89185	Undirected	4.0
-120212	70395	Undirected	4.0
-120212	-251824	Undirected	4.0
-120212	117837	Undirected	4.0
-120212	81895	Undirected	4.0
-120212	104071	Undirected	4.0
-120212	-236908	Undirected	4.0
-23873	41846	Undirected	4.0
-23873	78875	Undirected	4.0
-23873	42780	Undirected	4.0
-23873	-161344	Undirected	4.0
-23873	41915	Undirected	4.0
-23873	42031	Undirected	4.0
-23873	9409	Undirected	4.0
-23873	13957	Undirected	4.0
-23873	55914	Undirected	4.0
-23873	101564	Undirected	4.0
-23873	24189	Undirected	4.0
-23873	56727	Undirected	4.0
-23873	113809	Undirected	4.0
-23873	17143	Undirected	4.0
-23873	-393156	Undirected	4.0
-23873	55710	Undirected	4.0
-23873	58157	Undirected	4.0
-23873	89185	Undirected	4.0
-23873	70395	Undirected	4.0
-23873	-251824	Undirected	4.0
-23873	117837	Undirected	4.0
-23873	81895	Undirected	4.0
-23873	104071	Undirected	4.0
-23873	-236908	Undirected	4.0
41846	78875	Undirected	4.0
41846	42780	Undirected	4.0
41846	-161344	Undirected	4.0
41846	41915	Undirected	4.0
41846	42031	Undirected	4.0
41846	9409	Undirected	4.0
41846	13957	Undirected	4.0
41846	55914	Undirected	4.0
41846	101564	Undirected	4.0
41846	24189	Undirected	4.0
41846	56727	Undirected	4.0
41846	113809	Undirected	4.0
41846	17143	Undirected	4.0
41846	-393156	Undirected	4.0
41846	55710	Undirected	4.0
41846	58157	Undirected	4.0
41846	89185	Undirected	4.0
41846	70395	Undirected	4.0
41846	-251824	Undirected	4.0
41846	117837	Undirected	4.0
41846	81895	Undirected	4.0
41846	104071	Undirected	4.0
41846	-236908	Undirected	4.0
78875	42780	Undirected	4.0
78875	-161344	Undirected	4.0
78875	41915	Undirected	4.0
78875	42031	Undirected	4.0
78875	9409	Undirected	4.0
