Id	Label	Num
-417823	professor j b conrey	1	
-110937	professor s siksek	1	
-161443	dr ar booker	1	
55032	professor j keating	1	
-218763	professor t stafford	7	
39143	dr g d'alessandro	7	
76149	professor n strickland	7	
43470	professor p ashwin	10	
38641	professor a m rucklidge	7	
78876	dr ir mcintosh	7	
-493504	dr m j turner	7	
-535131	dr rch webb	1	
-250998	dr g tinaglia	2	
-184794	dr go jones	2	
-110069	dr j pila	2	
-440236	dr h harrington	3	
-409044	dr s j sierra	1	
-199972	dr c eaton	1	
82846	professor d joyce	2	
73675	professor t bridgeland	2	
-354336	dr y kremnizer	3	
-238040	dr k mcgerty	2	
-159965	professor b szendroi	2	
-110960	professor ra rouquier	2	
45932	professor s velani	1	
79039	professor v beresnevich	1	
23896	professor g grimmett	3	
11671	professor j norris	5	
7851	professor c hull	2	
-182073	professor a hanany	2	
46202	professor j gauntlett	2	
-398963	dr a j lobb	1	
-216612	dr m bate	1	
-524082	dr n gill	1	
-439939	dr m hering	1	
22603	professor r heath-brown	2	
93143	professor m ruzhansky	2	
35	professor s abramsky	3	
-415369	dr c douglas	2	
108991	professor b coecke	2	
-511269	dr f dragoni	2	
-498329	dr m l macdonald	1	
-509664	dr a p tikuisis	1	
-564577	dr a wand	1	
-498090	dr d cheraghi	2	
37755	professor a carbery	8	
29315	professor maj chaplain	8	
91872	professor rj szabo	8	
60732	professor r norman	8	
105371	professor r king	8	
7600	professor aw hood	8	
-304143	dr p blue	8	
17736	dr s zachary	8	
-234889	professor j wright	8	
27121	professor d higham	10	
-181243	professor mj geck	8	
-169061	professor r kessar	8	
55085	dr p davies	8	
37336	dr m mathieu	2	
82855	professor p topping	3	
115793	professor m dafermos	3	
-303874	dr a neves	3	
-253520	dr j rasmussen	1	
9046	professor ph kropholler	1	
-94214	dr jd lotay	1	
-94150	dr rd gray	2	
-514798	dr o randal-williams	1	
-510183	dr a martini	2	
-304715	dr z izhakian	2	
42246	professor i fesenko	2	
-191091	professor m kim	2	
84875	professor b zilber	2	
-465564	dr w zhang	1	
-465454	dr j d evans	1	
-165196	dr ge bellamy	1	
-109469	dr am kasprzyk	2	
-467860	dr r mueller	2	
-468412	dr s holman	3	
-251516	dr hjr wilton	1	
71594	professor k buzzard	1	
115928	professor t gee	1	
-192193	professor f diamond	1	
-513260	dr d helm	1	
14726	professor ft smith	9	
5127	professor t fearn	8	
1373	professor n biggs	8	
101454	dr os kerr	8	
56751	professor j berndt	8	
2221	professor s bullett	8	
2493	professor pj cameron	8	
125287	dr s geneletti	8	
108100	dr ie smolyarenko	8	
17694	professor ga young	8	
-253965	dr a koloydenko	8	
-124727	dr tc dunning	8	
-12953	dr jm talbot	8	
66256	dr d coad	8	
-377843	professor e steingrimsson	2	
-100207	dr a majumdar	2	
71590	professor dg crowdy	6	
105402	dr m de visscher	1	
55579	dr a cox	1	
4996	professor de evans	3	
-424266	dr s oblezin	2	
-453759	dr g alexander	2	
-113181	dr i ivrissimtzis	2	
-118754	dr a vdovina	2	
124954	dr ss dantchev	2	
-528384	dr j martens	1	
91442	dr x de la ossa	2	
-518550	dr n pagani	1	
-26887	professor a gorban	3	
11552	professor me newton	3	
10491	professor p mcdonald	3	
-130573	dr twc brown	3	
73981	professor l cronin	16	
15688	professor m calder	11	
507	professor mnr ashfold	3	
85402	professor s mackenzie	2	
94723	professor c vallance	6	
2018	professor m brouard	2	
34505	professor a j orr-ewing	2	
70695	professor jn harvey	3	
37973	professor p gardner	2	
-101167	dr mj baker	2	
-130798	dr jr yates	3	
94804	professor sp brown	3	
61582	dr p hodgkinson	3	
121179	professor sem ashbrook	2	
6831	professor kdm harris	2	
