"EP/N007883/1","['-453759']"
"EP/K016687/1","['-26383', '-113181', '-118754', '124954']"
"EP/N029828/1","['-528384']"
"EP/J010790/1","['91442', '20557']"
"EP/P004881/1","['-518550']"
"EP/N022653/1","['-26887']"
"EP/J500045/1","['11552']"
"EP/N018834/1","['10491', '-130573']"
"EP/P00153X/1","['73981', '15688']"
"EP/L005913/1","['507', '85402', '94723', '2018', '34505', '70695']"
"EP/L012952/1","['37973', '-101167']"
"EP/M022501/1","['-130798', '94804', '61582', '121179', '6831']"
"EP/I033394/1","['29058', '73975', '13147', '32486', '85445', '82989']"
"EP/N002148/1","['74007', '32486']"
"EP/M029425/1","['36060', '15555']"
"EP/L024748/1","['56989']"
"EP/J018058/1","['-167354', '-167345']"
"EP/L006227/1","['110171']"
"EP/M004120/1","['9479']"
"EP/N028945/1","['49622', '27176', '-460507', '66414']"
"EP/M00869X/1","['-450062']"
"EP/K007785/1","['38932', '7270']"
"EP/L02098X/1","['105731', '38712', '-113233']"
"EP/N020901/1","['125867']"
"EP/L016044/1","['110695', '53062', '-222675']"
"EP/L015889/1","['92635', '37692', '4822']"
"EP/L016753/1","['44175', '45941', '16172', '1801', '27310', '16509', '71158', '29187']"
"EP/L015307/1","['21420', '-211147', '79193', '94804', '94938', '39898', '114208', '114212']"
"EP/L016346/1","['38677']"
"EP/L016036/1","['101427', '-193742', '31057', '-12936', '458', '57232', '35858', '-247089']"
"EP/J003921/1","['13385', '105757']"
"EP/L019124/1","['21273']"
"EP/M009963/1","['-74271', '-93235']"
"EP/M010708/1","['-122021']"
"EP/J002151/2","['46911', '-460507', '66414', '-490657']"
"EP/J00278X/1","['67509', '41202', '40395']"
"EP/J002178/1","['8417', '-100027']"
"EP/N009126/1","['103946']"
"EP/M022749/1","['-417600', '107511']"
"EP/L022524/1","['96532', '15619', '-2464', '44677']"
"EP/M024393/1","['-498328']"
"EP/L018500/1","['11176', '-158333', '-453708']"
"EP/L014165/1","['68984', '-196849', '-3155', '-77944', '-16897', '118697', '84313']"
"EP/G037280/1","['110695']"
"EP/L025833/1","['117265', '6702']"
"EP/M024660/1","['-407054']"
"EP/I003983/1","['-153915']"
"EP/M012425/1","['-388427', '52426', '94016', '-310926']"
"EP/N002482/1","['80064', '52838']"
"EP/F500424/1","['3323', '104093']"
"EP/F500378/1","['39898']"
"EP/F50053X/1","['38677']"
"EP/N009282/1","['-17109']"
"EP/L001322/1","['107819']"
"EP/L00111X/1","['44221']"
"EP/M006204/1","['78339', '-325934']"
"EP/K03197X/1","['1801', '41812', '-178209', '77128', '10612', '41809', '45280', '-163375', '27588', '18869', '120842', '-340882', '126978']"
"S/A000020/1","['1898']"
"EP/M013820/1","['-158333', '11176']"
"EP/M010619/1","['17379', '73419', '39752', '-399202', '49267', '-391866']"
"EP/L023490/1","['-3369']"
"EP/N007034/1","['79372']"
"EP/N006895/1","['-21046']"
"EP/N006909/1","['21273']"
"EP/J002542/1","['-178438']"
"EP/M006301/1","['7995', '-191733', '42906', '126042', '-259967', '-490422']"
"EP/G03737X/1","['84605']"
"EP/N007875/1","['-480992']"
"EP/L005697/1","['74038']"
"EP/L005646/1","['34550', '16532', '39238']"
"EP/K034936/1","['48497', '57784', '124422']"
"EP/N02673X/1","['52916']"
"EP/N021630/1","['-215078']"
"EP/K005073/1","['-353649']"
"EP/N019563/1","['-126601']"
"EP/K022792/1","['34558', '12353']"
"EP/N009185/1","['-511536']"
"S/A000017/1","['61582']"
"EP/K006851/1","['-408323']"
"EP/K017322/1","['48362', '-407925']"
"EP/K027263/1","['-116364', '-115613']"
"EP/J002518/1","['-112481']"
"EP/L024772/1","['-85457']"
"EP/N022769/1","['-187843', '4822']"
"EP/N032055/1","['470', '45314']"
"EP/K007467/1","['-409272']"
"EP/K023373/1","['-173229', '111437', '71098']"
"EP/K023349/1","['25203', '-21184', '-183025', '-10858', '100601', '-316428']"
"EP/K02311X/1","['37973']"
