"EP/K02339X/1","['51118', '-107082', '-507527', '-507529']"
"EP/N006259/1","['-480717']"
"EP/K006266/1","['-196384', '-120186', '-81804', '-413886', '-248332']"
"EP/N028139/1","['-124855', '-193724', '16055', '117687']"
"EP/N027825/1","['-282642', '-249870']"
"EP/M011119/1","['-458510', '-12991', '126913']"
"EP/M029484/1","['-505473', '95551']"
"EP/L012626/1","['2755']"
"EP/L00383X/1","['-244010', '-369521', '2755', '126697']"
"EP/N005724/1","['-491665']"
"EP/L016540/1","['51118']"
"EP/N013964/1","['-113552', '-25080', '58293', '-490206']"
"EP/G037353/1","['-154535']"
"EP/G037159/1","['61394', '88981', '-119581', '-113666', '12295']"
"EP/M013685/1","['61394', '-416172', '122272']"
"EP/N013980/1","['58359', '-118007', '92244', '-283244', '27234', '28802', '-215137']"
"EP/J02211X/1","['-193862', '52643', '10226']"
"EP/M021793/1","['-181136']"
"EP/M014053/1","['71078']"
"EP/J009830/1","['10226']"
"EP/G037582/1","['1488']"
"EP/K014188/1","['12204', '47922', '-171365', '56861']"
"EP/K014056/1","['2715', '-196766', '-110997']"
"EP/G037574/1","['1219', '98571']"
"EP/L003112/1","['-161795', '-164761', '-248349', '55620']"
"EP/M008959/1","['-189494']"
"EP/L001616/1","['120139']"
"EP/N002997/1","['56494']"
"EP/N002717/1","['43613', '-387231', '-412209']"
"EP/L000687/1","['28909']"
"EP/M013936/2","['-497339']"
"EP/K032666/1","['77481', '-22950', '13903', '45714', '59849', '-283417']"
"EP/K040820/1","['16159', '-168547', '-272840', '82513']"
"EP/N028201/1","['117271', '-420303', '-157695', '84749']"
"EP/K035584/1","['-116561', '82502', '73961', '112700']"
"EP/L022729/1","['84353', '97680', '-362298']"
"EP/K008129/1","['-128335']"
"EP/K011693/1","['-177354']"
"EP/L000563/1","['-168547', '50450', '5628', '-112385', '16159', '-272840']"
"EP/M012298/1","['-145660', '-114981']"
"EP/M011801/1","['57961', '-118467']"
"EP/P00881X/1","['75481']"
"EP/M015734/1","['1488', '28053', '-518763']"
"EP/M015823/1","['51232', '122399', '-255992', '-467462']"
"EP/M015742/1","['-421253', '-415663']"
"EP/M015793/1","['-422022']"
"EP/M019462/1","['-242105', '38533', '31254', '117966', '9591']"
"EP/J016330/1","['116096', '5628']"
"EP/J016284/1","['-189152']"
"EP/L00321X/1","['106973', '98852']"
"EP/M029026/1","['-504137']"
"EP/L004232/1","['-421253', '17488']"
"EP/L016796/1","['40151', '15956', '8710', '4762', '2867', '5195', '100961']"
"EP/L01503X/1","['51232', '14582', '88761', '122399', '35221']"
"EP/M001202/1","['-262777', '-467462']"
"EP/M00113X/1","['-169872']"
"EP/N031768/1","['2022', '46045', '-189152', '-85269', '13133', '40151', '8653', '22017', '-425397', '-547836']"
"EP/K034413/1","['114627', '41408', '84749']"
"EP/M015750/1","['-421253', '-415663']"
"EP/L010550/1","['-99841', '50450', '21686']"
"EP/M016994/1","['98932']"
"EP/M016951/1","['69411', '-145924']"
"EP/M01729X/1","['97545']"
"EP/L027402/1","['-415663']"
"EP/L00738X/1","['6874', '95522', '-304448']"
"EP/K015680/1","['15129']"
"EP/K015699/1","['5628', '116096', '-417738']"
"EP/K026399/1","['-189152']"
"EP/K011626/1","['2307', '-249197', '83354']"
"EP/L002795/1","['-264123']"
"EP/K035606/1","['75481', '-116873', '36903']"
"EP/K008730/1","['5628', '51232', '-182658', '-22950', '8710', '15939', '116096', '95078', '29759']"
"EP/K034448/1","['50450', '47793', '5628', '-112385', '77274', '2867', '22017', '34959', '100961']"
"EP/N022777/1","['13590']"
"EP/P003915/1","['-255992']"
"EP/N021940/1","['78845']"
"EP/G036888/1","['55348']"
"EP/L010623/1","['-441610']"
"EP/M009564/1","['45687', '109756', '-471105', '102634', '31883', '61323', '-302949', '-195008', '-188242', '-190053']"
"EP/M022595/1","['12204', '-38849']"
"EP/M022617/1","['213', '-164597']"
"EP/M022544/1","['74038', '46028']"
"EP/N024486/1","['77617']"
"EP/N024028/1","['-93535', '46040']"
"EP/N023803/1","['38091', '-223629']"
"EP/I004475/1","['117068']"
"EP/M023427/1","['-406143']"
"EP/L015552/1","['12204', '47922', '112671']"
"EP/L015544/1","['7022', '1216', '57488']"
"EP/L015579/1","['105502', '15348']"
"EP/M003167/1","['-411753']"
"EP/K012894/1","['-1651', '-81153', '9691']"
"EP/K011561/1","['-130833']"
"EP/K016709/1","['57488', '7022', '61191']"
"EP/I017836/1","['117068']"
"EP/J010626/1","['1216']"
"EP/J010650/1","['77621', '-100521']"
"EP/J010618/1","['-362630']"
"EP/J010634/1","['107868', '69341']"
"EP/J01060X/1","['39422']"
"EP/K03278X/1","['-416678', '-192625', '108774']"
"EP/K032852/1","['83008', '15016', '95164', '-251526']"
"EP/L025736/1","['57488', '-474982']"
"EP/N026691/1","['-474982']"
"EP/M008738/1","['-489119']"
"EP/I035536/2","['-94404', '106049', '37119']"
"EP/P001319/1","['68680', '117266', '596', '-114995']"
"EP/P001556/1","['7253', '7492', '-546606', '107868', '-253001', '-265313', '69341']"
"EP/P004830/1","['17408']"
"EP/K004077/1","['12311', '28187', '14612', '-19876', '124929', '27169', '13938', '81210', '29635']"
"EP/N034694/1","['30513', '-22326']"
"EP/N034872/1","['1655', '-211701']"
"EP/K027255/2","['27178']"
"EP/K027212/1","['27178']"
"EP/M02444X/1","['-495049']"
"EP/N027671/1","['30513']"
"EP/J019143/1","['117064']"
"EP/M020517/1","['58058', '117068', '38091', '45655', '-412855', '1655', '-295157', '-223629', '-211701', '-22322', '82966', '82902']"
"EP/K032690/1","['-420089']"
"EP/N01930X/1","['2711', '52979', '-113803', '25950', '-251373']"
"EP/N028678/1","['-546731']"
"EP/N008154/1","['-157324']"
"EP/N005244/1","['-522647']"
"EP/N005082/1","['-419368']"
"EP/N017242/1","['1509', '-130158', '-100532', '-362630']"
"EP/J003999/1","['-110783']"
"EP/M02251X/1","['21659']"
"EP/M022188/1","['17408', '1216']"
"EP/K038311/1","['-10416']"
"EP/J017256/1","['16561']"
"EP/J017051/1","['69861']"
"EP/G03673X/1","['66895', '22036', '-114995', '37521', '76390']"
"EP/M000974/1","['115947', '31883']"
"EP/G003610/1","['-22322']"
"EP/J019259/1","['92683', '-224809']"
"EP/L014963/1","['27691', '38129', '27196']"
"EP/I031014/1","['-434052', '74214', '-406143', '-486867', '-251373', '-188962', '-186294', '-226253', '66895', '-160027', '-114995', '-79438']"
"EP/L020963/1","['-100653']"
"EP/K001507/1","['9121']"
"EP/N019199/1","['-439587']"
"EP/L016095/1","['51807', '76878', '54484']"
"EP/L016826/1","['30229', '90914', '15366', '2208', '46727', '56943']"
"EP/N509024/1","['-421513']"
"EP/N033213/1","['-541917']"
"EP/L026708/1","['-170745']"
"EP/K036939/1","['40650', '61321', '-424234', '124411']"
"EP/M019438/1","['-304795']"
"EP/M011631/1","['-401501', '-469413', '-304211', '-38849']"
"EP/M011291/1","['51540', '46238', '21422']"
"EP/L011549/1","['-416224']"
"EP/N035631/1","['-528426']"
"EP/N022505/1","['-454478']"
"EP/L01615X/1","['29260', '8432', '90617']"
"EP/L015803/1","['12538', '90575']"
"EP/L016613/1","['56480', '-439280', '115742', '96893']"
"EP/N014642/1","['11820', '85292', '32025', '-199967', '-25757', '-178222', '-176789', '55349', '117238', '-110067', '-272041', '70495', '29315', '-230710']"
"EP/N007212/1","['-100078']"
"EP/M011992/1","['-486336']"
"EP/L017059/1","['-159858']"
"EP/L024926/1","['56821', '-188882', '-16489', '12292', '115433', '61124', '57752', '-234832', '32178']"
"EP/K034529/1","['9521', '-385751', '61544', '-118661', '45752']"
"EP/N022394/1","['-491829']"
"EP/N018176/1","['-221519']"
"EP/N018559/1","['59133']"
"EP/M00015X/1","['-184615']"
"EP/M017281/1","['-498186']"
"EP/P000959/1","['-24438']"
"EP/P001130/1","['45752']"
"EP/L000407/1","['43529', '34922', '-182658', '53031', '-2641', '8710', '115742', '-393156', '128007']"
"EP/J014494/1","['800', '15299', '-217300']"
"EP/L018934/1","['-460175']"
"EP/N022548/1","['124307']"
"EP/L027682/1","['43612']"
"EP/K041134/1","['51895', '111377', '-356732', '71590']"
"EP/M004546/1","['-148520']"
"EP/N023781/1","['110718', '115742', '56480']"
"EP/M015637/1","['44434', '76361', '97275']"
"EP/N00924X/1","['101204', '-9767']"
"EP/K030930/1","['-389043']"
"EP/N021738/1","['-455821']"
"EP/M002837/1","['66486', '-407693', '-403839', '-449731', '-304040', '37442']"
"EP/N008707/1","['17302', '-155550']"
"EP/N009142/1","['1210']"
"EP/M002306/1","['-269537']"
"EP/M002454/1","['125954']"
"EP/M002527/1","['-431422']"
"EP/M002187/1","['-189413']"
"EP/I033467/1","['8111', '-211480', '39084', '6882', '2627', '72895', '17707', '-357490', '34519', '35210']"
"EP/K018205/1","['76625', '-421878', '-15736', '78398', '88857', '110493', '125669']"
"EP/N022262/1","['-520254', '37850', '126108', '-237261']"
"EP/N025393/1","['61977']"
"EP/K014250/1","['355', '-123382', '-21519', '72554', '10186', '-70595', '1450', '-146464', '37814', '60514', '102074', '-450654', '87566']"
"EP/K018191/1","['6882', '39084', '3262', '17707']"
"EP/J01043X/1","['79363']"
"EP/J00930X/1","['112150', '76174']"
"EP/N017013/1","['34512']"
"EP/K018108/1","['55324', '-422193', '36103', '29756']"
"EP/I031642/2","['110493', '-2477', '-16231', '-14644']"
"EP/M002845/1","['87331', '-136653', '91663', '54555']"
"EP/N01300X/1","['-186400', '-200592', '-444499', '-192877', '-14332', '79108', '27824', '108593']"
"EP/K014145/1","['-565610', '2599']"
"EP/P006248/1","['-498641']"
"EP/L026856/2","['-467323']"
"EP/M000842/1","['-419366']"
"EP/N021932/1","['42982']"
"EP/N022122/1","['71054', '49479']"
"EP/N016785/1","['-157513']"
"EP/K033662/1","['107959']"
"EP/K033646/1","['49479', '-176067', '68680', '107644']"
"EP/K033549/1","['-395356']"
"EP/M022064/1","['-154287']"
"EP/M027015/1","['107838']"
"EP/K03345X/1","['56489', '72673', '-430605', '-118399', '-99052', '-106888', '-41635', '114536', '-430606', '112609', '101281', '71248', '-367917']"
"EP/L002213/1","['-17480']"
"EP/M011089/1","['-352163', '-11114', '113094', '-451115']"
"EP/N010280/1","['80335', '97176', '1219', '-418628', '-24480']"
"EP/M015157/1","['54941', '31891', '-213257', '-121324', '-11474', '-106580', '8423', '-16428', '34258', '86007']"
"EP/L010321/1","['3558']"
"EP/N010078/1","['552', '38911', '-465687']"
"EP/I01585X/1","['60615', '11453', '109648']"
"EP/L016206/1","['109189', '75941', '43632', '21563']"
"EP/L016257/1","['13313', '54110', '-97525', '83326']"
"EP/L015587/1","['2683', '-372624', '50145', '14808', '123227', '37796', '61977', '27937', '87566']"
"EP/L016567/1","['11780', '14362', '107295']"
"EP/I033246/1","['59145', '-213336', '-199979', '-200024', '-198610', '-186911', '-111735', '12861', '120760', '111610', '109496', '124327', '122806', '106093', '69316', '-223928', '35210']"
"EP/K028553/1","['56138', '126551']"
"EP/N009835/1","['31869']"
"EP/L014742/1","['3113', '-93913', '42450', '12945', '27204', '-415585', '-295071', '119882', '125120']"
"EP/M50676X/1","['-393156']"
"EP/M021270/1","['-455822']"
"EP/M506795/1","['80632']"
"EP/G037612/1","['102155']"
"EP/N013778/1","['-190439', '-413944', '90652']"
"EP/M015130/1","['40395', '8620', '7021', '4822', '-366390', '17558']"
"EP/M015181/1","['-123003', '111741', '15984', '37876', '32110', '273', '108792', '-160191']"
"EP/M506825/1","['37967', '98443']"
"EP/P511092/1","['16252']"
"EP/L025760/1","['5310', '-212697', '-394860', '43622', '-476363']"
"EP/N008065/1","['-118569']"
"EP/N01006X/1","['-105347', '94574']"
"EP/M013170/1","['-423850']"
"EP/M02993X/1","['-176323']"
"EP/K014196/2","['-90213', '83620', '38054', '8369', '10640', '3651', '21829', '-524980']"
"EP/M506771/1","['-419277', '-417465']"
"EP/N02124X/1","['-189281', '-182072']"
"EP/P005578/1","['80862', '76174', '4389', '27648']"
"EP/L025752/1","['73396', '-117640', '79834', '17379', '98471', '93221', '83317']"
"EP/N005694/1","['38367', '7492', '-358371']"
"EP/L505778/1","['-304253']"
"EP/L505766/1","['82512']"
"EP/P005489/1","['96308', '62734', '-257389']"
"EP/M000273/1","['56861']"
"EP/I033351/1","['31280', '59590', '61302', '6372', '70039', '85783', '-221670']"
"EP/P005403/1","['-130938', '75026', '60818', '-117645', '38079']"
"EP/P005268/1","['72554', '115654', '-203259', '-198753', '-4425']"
"EP/N010558/1","['-249907']"
"EP/K008196/1","['-99997']"
"EP/N009568/1","['-90213', '108953']"
"EP/P001246/1","['125669', '9481', '44685']"
"EP/K014234/2","['107194', '-373614', '-389788', '-140023', '-106580', '13520', '-426682', '65572', '-518125', '-232364']"
"EP/P005543/1","['46239', '-492159']"
"EP/K019368/1","['-173031', '45489', '80332']"
"EP/P005411/1","['27648', '29756']"
"EP/K503289/1","['60514', '-70595']"
"EP/L015285/1","['41001', '-406579']"
"EP/L015153/1","['22809', '78303']"
"EP/I033459/1","['60514', '52847', '-21519', '73981', '-70595', '9586', '1450', '45006', '-146464', '6569', '102074', '-450654', '6372', '-517712', '31961', '87473']"
"EP/P001564/1","['110657', '120015', '34707', '-26144']"
"EP/G037620/1","['-10368', '11057']"
"EP/G034656/1","['15868', '94941', '40973', '-11281']"
"EP/M013693/1","['9602', '-353852']"
"EP/M018016/1","['54941', '34258', '-121324', '-16428']"
"EP/N017773/1","['28488', '-87724', '55713']"
"EP/N018249/1","['73581']"
"EP/L018705/1","['49267']"
"EP/L018632/1","['-449796', '36023']"
"EP/N018141/1","['11579']"
"EP/M029867/1","['10276', '55720', '-516970']"
"EP/I031480/1","['54941', '-121324', '8423', '13805']"
"EP/J015687/1","['-422908', '643']"
"EP/J003840/1","['72561']"
"EP/M015165/1","['-257263', '-190317', '12308', '-2868', '41641', '41348', '8323', '16932']"
"EP/M028240/1","['114695', '-468003', '-495461']"
"EP/M027856/1","['-23812', '-11474']"
"EP/M023001/1","['48889', '-417821', '-423371', '56426', '-413931', '-435967', '44685', '-437916', '28147', '124382', '-407759', '-271973', '-160778', '-156057', '-125228', '-117033', '-108747', '-91059', '-86618', '-88127', '-88121', '-17480', '-17477', '-11250', '-3249', '83362']"
"EP/N028198/1","['-224585', '34988', '-435967', '-533001', '-545013']"
"EP/N02799X/1","['126697', '-412209', '117283', '-460230', '-244010']"
"EP/N02785X/1","['13520', '-82046', '10387', '44148']"
"EP/N032772/1","['-195834']"
"EP/N03211X/1","['-244893']"
"EP/N03208X/1","['-401169']"
"EP/N029003/1","['-498641']"
"EP/M001121/1","['-253159', '119191', '-325092', '-16489', '-28447', '-28054', '43422']"
"EP/N034899/1","['-398512', '112115', '59056', '-547560', '-547154', '-547758', '-547483', '-547485']"
"EP/I022562/1","['-87745', '13522', '-151895', '-304931']"
"EP/N035321/1","['-521324', '-213424']"
"EP/M008916/1","['34198']"
"EP/M008886/1","['-352163']"
"EP/M008843/1","['-451115']"
"EP/L018659/1","['126062', '21686']"
"EP/N005112/1","['-404614']"
"EP/K033700/1","['107187']"
"EP/K033166/1","['-418850', '-169872', '98704']"
"EP/M026698/1","['1994', '11444', '7786', '45782']"
"EP/L016656/1","['2212', '1080', '45632', '106698', '67074']"
"EP/L022559/2","['-189796']"
"EP/L019981/1","['22235', '1219', '4049', '43134']"
"EP/I028153/1","['2212', '1080']"
"EP/G037523/1","['46128', '8465', '8417', '50579', '13368', '27310', '16880', '4553', '44531']"
"EP/N020391/1","['132133', '-153260', '5635', '27824', '-250015', '-531381']"
"EP/M014150/1","['-411903']"
"EP/M014126/1","['-80152', '-87004']"
"EP/P000673/1","['-486342', '5635']"
"EP/P000703/1","['77863']"
"EP/P003885/1","['-411567', '110641']"
"EP/M026957/1","['-215861', '26354']"
"EP/L025299/1","['-10093', '77863']"
"EP/L025272/1","['-189859', '59415']"
"EP/M009262/1","['-474635']"
"EP/M015521/1","['-483138']"
"EP/K025643/1","['87220', '-28425']"
"EP/M029441/1","['-506271']"
"EP/I031022/1","['31841', '82265', '6304', '107854', '17473', '71480', '-190079', '-170420']"
"EP/M026965/1","['-515477', '8392', '-253784']"
"EP/M026701/1","['115654', '16199', '-512530', '-366712', '-235107', '-116475']"
"EP/M026728/1","['106116', '-469127', '-186182', '-125533', '-6396', '11444']"
"EP/K015893/1","['-53274']"
"EP/L000539/1","['45542', '74102', '42655', '-218863']"
"EP/L026147/1","['77863', '-200461', '95574', '11965', '115775', '32519']"
"EP/N028554/1","['-211404']"
"EP/N024192/1","['-459455']"
"EP/J015180/1","['10612', '77863', '11300', '-162130', '101189', '16440', '34198']"
"EP/M011852/1","['-352163']"
"EP/K014277/1","['34198', '-187310', '-22879', '77863', '11300', '-162130', '101189', '16440']"
"EP/K014307/2","['36938', '-203954', '-411012', '-190482', '8936', '77575', '-81370', '12034', '-166434', '14826', '122780', '22490', '114631', '-356565', '69275']"
"EP/N005651/1","['-198394', '106']"
"EP/N005597/1","['-189859', '-177354', '27774']"
"EP/N005686/1","['42474', '-464153']"
"EP/K007971/1","['48970']"
"EP/K008757/1","['-200461']"
"EP/K021966/1","['71158', '-211119', '73981', '117861', '-258910', '29633']"
"EP/L020009/1","['45632', '-200461', '10612', '1080', '7956']"
"EP/M026981/1","['79853', '94924', '16671']"
"EP/N007824/1","['11965', '7956', '12101', '27824', '45632']"
"EP/N008219/1","['-53274']"
"EP/N002709/1","['-520260']"
"EP/M000885/1","['2212', '37325', '58293', '124410', '-107482', '-25080', '-1825']"
"EP/L01596X/1","['46128', '82833', '13330', '37881', '94859', '106997']"
"EP/M008797/1","['-116397']"
"EP/K020641/1","['119191']"
"EP/N026985/1","['53018', '43152', '-15800', '-426035', '70840']"
"EP/M008657/1","['-469374']"
"EP/L01646X/1","['73994', '-423067', '46006', '-9004', '71064']"
"EP/I01375X/1","['73994', '2202', '43821']"
"EP/M014649/1","['-457511']"
"EP/N025075/1","['-217877', '46155', '17379', '41001', '116912', '-416397', '99800', '-498502', '-545777']"
"EP/L02635X/1","['42571', '-403365', '-200617', '-180494', '-426005']"
"EP/L020734/1","['126042', '48095', '-184392', '106052']"
"EP/K023845/1","['21940', '-127837', '2357', '44048', '-46643', '28802']"
"EP/N006615/1","['53013', '92000', '46006', '-167226', '3889', '81738', '73642', '-15988', '-14854', '-15906', '73994']"
"EP/N510087/1","['-217877', '-416397']"
"EP/L024012/1","['-17244', '-420903', '-10696', '-64100', '111550', '-452405', '21465', '-257189', '-239186', '125973']"
"EP/N026322/1","['132038']"
"EP/N03371X/1","['73994', '-15906', '-165614', '-16004']"
"EP/K032070/1","['13805']"
"EP/K029835/1","['-162649']"
"EP/I021795/1","['125973']"
"EP/N026942/1","['-3092', '13805', '-162649', '62709', '125973']"
"EP/K002201/1","['42571', '-405938', '-180494', '-4054', '-224546']"
"EP/L013835/1","['21347', '-210586', '52064', '73994']"
"EP/N006054/1","['106056', '-115825', '-97445', '-436262', '40306', '57299']"
"EP/P00136X/1","['72828', '21901']"
"EP/K008552/3","['-227756', '10708', '117601', '-386486']"
"EP/L505262/1","['-398170', '45812']"
"EP/L505274/1","['-399342']"
"EP/L505298/1","['-95621', '61145', '68130']"
"EP/L505286/1","['-448264', '-423902']"
"EP/K034987/1","['10708', '-210506', '-177537', '506', '-82893', '22243', '59241', '59254', '67108', '117601']"
"EP/K035304/1","['72828', '127861', '21901', '10327', '10708', '22243', '110641', '30486']"
"EP/M021785/1","['-398170']"
"EP/M009394/1","['115649', '82953', '-391743', '-373541', '-157660', '-113790', '38217', '2132', '56451', '27648', '99170', '121144', '-493306']"
"EP/N024303/1","['-473922']"
"EP/L011697/1","['7510', '102074']"
"EP/L012278/1","['44380', '69120']"
"EP/N018222/1","['44531']"
"EP/N032977/1","['-161432', '37147', '44683']"
"EP/N03337X/1","['9121']"
"EP/P004504/1","['-401170', '41460', '102972', '8719', '-305209']"
"EP/K006835/1","['-399342', '38932']"
"EP/K019694/1","['71851', '81026', '15671']"
"EP/P005152/1","['39014', '-219248']"
"EP/I034548/1","['80862', '29233', '6475', '80129', '13851', '12031', '27648', '117015']"
"EP/L025507/1","['22017', '-425397', '109749']"
"EP/M010627/1","['21646', '82895']"
"EP/M010589/1","['7875', '132139']"
"EP/J001074/1","['48924']"
"EP/L025450/1","['11775']"
"EP/M020975/1","['-110248']"
"EP/N002539/1","['106973', '98852']"
"EP/K03099X/1","['-393233', '37267', '-178909', '3017', '1799', '12350', '75103', '17160', '69939', '110550', '5821', '34617', '126832', '126664']"
"EP/M002519/1","['-431422']"
"EP/K026232/1","['56547']"
"EP/K02633X/1","['40551', '-89131']"
"EP/P51021X/1","['-219248']"
"EP/N035569/1","['-537220']"
"EP/N031563/1","['56547']"
"EP/N028848/1","['40551', '-89131']"
"EP/K034510/1","['11369', '-180078', '10612', '1801', '-160462', '64244', '16509', '128313']"
"EP/N016610/1","['127861']"
"EP/N016408/1","['40551', '-89131', '-83354']"
"EP/N014820/1","['125088', '42432']"
"EP/N015878/1","['7695']"
"EP/N017927/1","['7875', '132139']"
"EP/L017695/1","['101121', '-188467', '-107944', '39752', '6586', '5562', '11579', '123706', '82965', '32169', '32176']"
"EP/M022862/1","['-123003', '273']"
"EP/K024345/1","['56547', '2851']"
"EP/L017792/1","['-189092', '29788', '-423577', '-126494', '44932', '11031', '16783', '73469', '91763', '-250227', '-240050']"
"EP/K021273/1","['-118653', '-200357', '-252168']"
"EP/I004084/2","['-188808']"
"EP/K017829/1","['-220230']"
"EP/K000810/1","['50450']"
"EP/K016776/1","['491']"
"EP/K01739X/1","['40042', '41416']"
"EP/M009416/1","['-445427', '13096']"
"EP/K014471/1","['42432', '28488', '7695', '72828', '7875', '56547', '5494', '109541', '127861', '-128168', '-16288', '45941']"
"EP/N00647X/1","['-193792']"
"EP/L017563/1","['41801', '-188696', '-98711', '14479', '10310', '-19895', '12945', '98471', '120848']"
"EP/L017709/1","['46177', '31891', '82953', '-187035', '48909', '41099', '74046', '3262', '107590', '106090']"
"EP/M013650/1","['110550', '-178909']"
"EP/M013006/1","['108024']"
"EP/M009238/1","['-417734', '-3865']"
"EP/L010607/1","['34577', '-445592', '119151']"
"EP/L010585/1","['491']"
"EP/M013707/1","['9043', '111427']"
"EP/J018678/1","['71158', '8056', '42432', '-258910']"
"EP/K034804/1","['22243', '127861', '-421186', '-408327', '-118653', '72828', '110641', '30486', '36539', '-225119']"
"EP/K035096/1","['127861', '-417328', '40055', '-126233', '44464', '21901', '110641', '36539', '-252168', '-225119']"
"EP/L007010/1","['10327', '49642', '-408327', '53021', '48924', '11775', '298', '56547', '10455']"
"EP/M009505/1","['27169', '28187', '14612', '-465883']"
"EP/M015300/1","['36834', '-435728', '-186246', '40837', '125775', '15517', '-494486']"
"EP/P510324/1","['71210', '-542504', '-558255', '-384413', '38150']"
"EP/K02115X/1","['41239', '-184599', '50173', '-22878', '-120209', '1361', '5834', '12657', '-150653', '17698', '17184', '71090', '-249677', '-517113', '-547160', '32011']"
"EP/K007866/1","['58698']"
"EP/G036950/1","['102002']"
"EP/N509991/1","['-15786', '1116', '-510754']"
"EP/N509978/1","['26707']"
"EP/N50841X/1","['-271812', '37684', '-381140']"
"EP/M015351/1","['-181239', '-395343', '-184599', '50173', '-22878', '5834', '-63445', '12657', '-249677', '-241673']"
"EP/M021475/1","['126084', '37156']"
"EP/M02203X/1","['-1288']"
"EP/M01536X/1","['-76055', '85957', '-15114', '14765', '79363', '12657', '-15786', '-446333']"
"EP/K039326/1","['134476', '51931', '40612', '49422', '102972', '21785', '55324', '-437517', '-234376']"
"EP/M011151/1","['-389043']"
"EP/M011100/1","['-351981']"
"EP/M011054/1","['-2641', '8710', '128007', '-182658']"
"EP/N021452/1","['55335', '-417641', '-362253', '-249538', '117601']"
"EP/N020782/1","['21853', '-388443', '3003', '12762', '55338', '54266', '65466', '-219615']"
"EP/K012851/1","['14394', '-387620', '-192216', '-22878', '-6837', '-6464', '-6786', '91645', '-48479', '112934']"
"EP/L016303/1","['36367', '19500', '94170']"
"EP/L016680/1","['9394', '8024', '55335']"
"EP/M014738/1","['16446', '55338', '50604', '-362253', '-255613', '-295285', '21754']"
"EP/N021487/1","['-192216', '-387620', '42722', '14394', '27091']"
"EP/J500847/1","['21754']"
"EP/M021394/1","['-152692', '-425450']"
"EP/N508445/1","['-202969', '48637']"
"EP/P510348/1","['-267780']"
"EP/K013319/1","['26893', '41598', '-118097', '-117367', '679', '75469', '55338', '45188', '127789']"
"EP/K012487/1","['14993', '-93916', '118308', '64696']"
"EP/N508652/1","['17302', '-155550', '-418331']"
"EP/N508640/1","['81374']"
"EP/N509838/1","['21853', '-388443', '12762', '54266', '65466', '-219615']"
"EP/N509826/1","['50604', '-121164', '-87133']"
"EP/I027912/1","['16446', '47164', '14634', '55338', '16982', '21754']"
"EP/P008682/1","['16446', '4022', '55338', '36367', '-469203', '50604', '-362253', '-295285', '-249538', '21754', '-121164', '-87133']"
"EP/K038443/1","['-543329']"
"EP/K038303/1","['75095', '43512', '-157879']"
"EP/K037889/1","['114696', '2673', '10949']"
"EP/M011135/1","['4332', '-249527']"
"EP/L015013/1","['-454045']"
"EP/M026469/1","['48606', '-271697']"
"EP/M019446/1","['-497904']"
"EP/N017579/1","['9333', '94884']"
"EP/N017617/1","['-19904', '-127979', '27069', '-424322']"
"EP/M026566/1","['-19904', '-424322', '-188696']"
"EP/M026485/1","['6930']"
"EP/N004493/1","['-502930']"
"EP/N017641/1","['50145', '102086', '-465702']"
"EP/L005581/2","['-416888']"
"EP/L006170/1","['6446']"
"EP/K03684X/1","['4332']"
"EP/K029770/1","['-93913', '-254854']"
"EP/M018563/1","['9333', '42450', '-502768']"
"EP/M018768/1","['58194', '34540', '8978']"
"EP/M018482/1","['-453496', '-420474', '-170180', '-3143']"
"EP/M018237/1","['6475', '-108315']"
"EP/N016351/1","['72898']"
"EP/N017374/1","['-424322', '-20926']"
"EP/L014041/1","['35206', '-429064', '42982', '42857', '-170180', '-118039', '-111082', '-99388', '-99166', '-19904', '9333', '-21394', '-424322', '-414007', '-429528', '-364613', '-364633', '36754', '66717', '-229041']"
"EP/M018210/1","['41278', '31603']"
"EP/N017684/1","['-85240', '-19904', '-421608', '-424322']"
"EP/M018466/1","['-114259', '38304']"
"EP/M017540/1","['6475']"
"EP/K034650/1","['-3143', '-399202', '-170180', '17379', '-420474', '132118']"
"EP/I005420/1","['-3143']"
"EP/L015390/1","['41034', '-19904', '47847', '12174', '36754', '-229041']"
"EP/L015900/1","['9333', '48291', '76916', '100170', '58194']"
"EP/N035178/1","['-405074']"
"EP/M018040/1","['28387']"
"EP/M026396/1","['6930']"
"EP/M018369/1","['-3143', '-170180', '125768', '-420474', '-453496']"
"EP/M018105/1","['-416888']"
"EP/K00817X/1","['6446']"
"EP/N017870/1","['-19904', '-127979', '27069', '-424322', '81402', '-230755']"
"EP/M018792/1","['-416888', '-19904', '27069', '-494529', '81402']"
"EP/M018733/1","['16424', '76916', '101564', '7223', '35206', '8089']"
"EP/L025981/1","['-3143', '-399202', '-170180', '-459671']"
"EP/L504671/1","['105644', '48255', '7424', '-157774', '36791']"
"EP/M02489X/1","['55461']"
"EP/M018261/1","['16424', '76916', '7223', '8089']"
"EP/M018296/1","['16424', '100170', '14618']"
"EP/G037426/1","['44759', '-201306']"
"EP/N508494/1","['102002', '125098', '56019']"
"EP/N508482/1","['-160053']"
"EP/M026426/1","['-482979', '-435024', '-229041']"
"EP/K033611/1","['63480']"
"EP/N017854/1","['-399202', '-420474']"
"EP/J021172/1","['-3143', '-399202', '-393036', '50024', '13313', '41029', '-253734', '-236565', '28387', '132118']"
"EP/M012719/1","['42857', '9846']"
