"EP/P000487/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Aspects of OR', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/J018074/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Aspects of OR', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability', 'Theoretical biology']"
"EP/K022490/1","['Algebra & Geometry', 'Algebra & Geometry', 'Logic & Combinatorics']"
"EP/K02826X/1","['Algebra & Geometry', 'Manufacturing Machine & Plant', 'Numerical Analysis']"
"EP/K032208/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Aspects of OR', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/N032160/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/N014189/1","['Algebra & Geometry', 'Information & Knowledge Mgmt', 'Statistics & Appl. Probability']"
"EP/J002062/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/K034383/1","['Algebra & Geometry']"
"EP/J500914/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis']"
"EP/N019644/1","['Algebra & Geometry']"
"EP/M024512/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/N007956/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/N008359/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/K041096/1","['Algebra & Geometry', 'Non-linear Systems Mathematics', 'Statistics & Appl. Probability']"
"EP/M008460/1","['Algebra & Geometry']"
"EP/K036696/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/M015548/1","['Algebra & Geometry']"
"EP/I033343/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/J018260/1","['Algebra & Geometry']"
"EP/I03372X/1","['Algebra & Geometry', 'Mathematical Physics', 'Statistics & Appl. Probability']"
"EP/K034456/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/M000389/1","['Algebra & Geometry']"
"EP/L005328/1","['Algebra & Geometry']"
"EP/N010957/1","['Algebra & Geometry']"
"EP/K041002/1","['Algebra & Geometry']"
"EP/K02132X/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/K039407/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/K015478/1","['Algebra & Geometry', 'Fundamentals of Computing']"
"EP/N003209/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/N022378/1","['Algebra & Geometry']"
"EP/N00874X/1","['Algebra & Geometry']"
"EP/P004598/1","['Algebra & Geometry']"
"EP/M01746X/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/J500884/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/M02461X/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/K00865X/1","['Algebra & Geometry', 'Mathematical Analysis', 'Mathematical Physics']"
"EP/M000648/1","['Algebra & Geometry']"
"EP/N007328/1","['Algebra & Geometry']"
"EP/K010980/1","['Algebra & Geometry']"
"EP/N033353/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/M027783/1","['Algebra & Geometry']"
"EP/P002447/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/N02995X/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/M024830/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/N002601/1","['Algebra & Geometry']"
"EP/K011588/1","['Algebra & Geometry']"
"EP/N005058/1","['Algebra & Geometry']"
