"GR/K95208/01","['Materials Characterisation']"
"GR/J13069/01","['Particle Technology']"
"GR/J13069/02","['Particle Technology']"
"GR/K60992/01","['Design Engineering']"
"GR/L58446/01","['Information & Knowledge Mgmt']"
"GR/M41407/01","['Ground Engineering']"
"GR/L69626/01","['Networks & Distributed Systems']"
"GR/F86847/01","[]"
"GR/K16470/01","['Chemical Synthetic Methodology']"
"GR/H88206/01","['Robotics & Autonomy']"
"GR/L32286/01","['Analytical Science']"
"GR/L77089/01","['Fundamentals of Computing']"
"GR/L16255/01","['Fluid Dynamics']"
"GR/J40638/01","['Civil Engineering Materials']"
"GR/J76965/01","['RF & Microwave Technology']"
"GR/K59576/01","['Human Communication in ICT']"
"GR/J76835/01","['Separation Processes']"
"GR/F58998/01","[]"
"GR/M82110/01","['Manufacturing Machine & Plant']"
"GR/J80115/01","['RF & Microwave Technology']"
"GR/J35757/01","['Atoms & Ions']"
"GR/H90513/01","['Materials Characterisation']"
"GR/L61118/01","['Instrumentation Eng. & Dev.']"
"GR/L35973/01","['Parallel Computing', 'System on Chip']"
"GR/L35980/01","['Parallel Computing']"
"GR/M22772/01","['Digital Signal Processing']"
"GR/M67582/01","['Materials Characterisation']"
"GR/L17221/01","['Image & Vision Computing']"
"GR/H95082/01","['Chemical Structure']"
"GR/J56950/01","['Chemical Structure']"
"GR/L22324/01","['Materials Characterisation']"
"GR/K15787/01","['Lasers & Optics']"
"GR/L24625/01","['Materials Processing']"
"GR/M59891/01","['Med.Instrument.Device& Equip.']"
"GR/L39988/01","['Materials Characterisation']"
"GR/M48147/01","['Materials Characterisation']"
"GR/K58258/01","['Materials Characterisation']"
"GR/J73315/01","['Chemical Structure', 'Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"GR/L50686/01","['Biological & Medicinal Chem.', 'Chemical Structure', 'Electrochemical Science & Eng.', 'Gas & Solution Phase Reactions', 'Instrumentation Eng. & Dev.']"
"GR/L55841/01","['Biological & Medicinal Chem.', 'Chemical Structure', 'Electrochemical Science & Eng.', 'Gas & Solution Phase Reactions', 'Instrumentation Eng. & Dev.']"
