"GR/M84985/01","[[['page, professor gj', '34631'], ['mcguirk, professor jj', '10554'], ['fisher, dr m', '22187']], 266494]"
"GR/L95403/01","[[['griffiths, professor j. b.', '31887']], 7632]"
"GR/H85267/01","[[['riffat, professor s', '21278']], 53075]"
"GR/G18452/01","[[['riffat, professor s', '21278']], 70431]"
"GR/H44202/01","[[['caldwell, professor dg', '2464']], 24890]"
"GR/K63467/01","[[['fisher, professor n', '49921']], 125090]"
"GR/L86937/01","[[['kara, dr m', '32387']], 97835]"
"GR/K69179/01","[[['sanders, professor j', '13873']], 237453]"
"GR/J84243/01","[[['bowker, professor m', '32124'], ['hollins, dr p', '7535']], 301794]"
"GR/M52175/01","[[['dowsett, professor mg', '4417'], ['mcconville, professor cf', '10455']], 498267]"
"GR/L49383/01","[[['roberts, professor m', '13437'], ['davies, professor pr', '25524'], ['carley, dr af', '33374']], 390702]"
"GR/M54889/01","[[['ricketts, professor iw', '25191'], ['waller, professor a', '48653'], ['brodie, mrs j', '51120'], ['alm, dr n', '39935'], ['dennis, ms f', '63552'], ['gordon, mr b', '63562'], ['shearer, dr a', '63563'], ['warden, dr a', '63564']], 251765]"
"GR/J13335/01","[[['kennedy, mr p', '30478']], 6986]"
"GR/M94724/01","[[['horswill, dr m', '67723']], 52038]"
"GR/K06037/01","[[['hughes, professor r', '25703'], ['arnell, professor rd', '-26119']], 83768]"
"GR/K79918/01","[[['wright, professor i', '17568'], ['taylor, mr a', '15562'], ['saunders, professor j', '13954']], 117787]"
"GR/K32302/01","[[['leslie, professor i', '9412']], 189720]"
"GR/N16396/01","[[['bargiela, professor a', '877']], 3741]"
"GR/M74641/01","[[['labib, professor a', '58204']], 10000]"
"GR/H61407/01","[[['cox, dr g', '3459'], ['perutz, professor r', '12353']], 97959]"
"GR/K25922/01","[[['coleman, dr j', '34818']], 171821]"
"GR/H39499/01","[[['joseph, professor m', '8565']], 88194]"
"GR/K16715/01","[[['zedan, professor h', '17749']], 22425]"
"GR/K16715/02","[[['zedan, professor h', '17749']], 107339]"
"GR/M41865/01","[[['spence, professor s', '59361']], 55450]"
"GR/J85011/01","[[['beeby, professor a', '29229'], ['phillips, professor d', '12432'], ['cook, professor mj', '3274'], ['russell, professor d', '21400']], 97703]"
"GR/H52986/01","[[['harris, dr m', '6834']], 106435]"
"GR/M53509/01","[[['catlow, professor r', '2663'], ['bell, dr r', '37889']], 256198]"
"GR/G20028/01","[[['bush, dr a', '2353']], 55338]"
"GR/H52634/01","[[['meddis, professor r', '-16570']], 70181]"
"GR/H29353/01","[[['omalley, dr p', '11771']], 3000]"
"GR/G58168/01","[[['holden, dr t', '7505'], ['fallside, professor f', '5073']], 88351]"
"GR/G58175/01","[[['loucopoulos, professor p', '9711']], 69777]"
"GR/L49079/01","[[['handy, professor n', '6722'], ['hansen, professor jp', '49456'], ['gill, professor pm', '49457'], ['amos, dr r', '312']], 245651]"
"GR/G62363/01","[[['penney, mr p', '12297']], 31255]"
"GR/H93828/01","[[['burton, professor am', '2338'], ['bruce, professor v', '27496']], 86170]"
"GR/J04951/01","[[['craw, dr i', '21810']], 38288]"
