Source	Target	Type	Weight	TotalVal
11	77	Undirected	1.0	1249600
11	78	Undirected	1.0	99283
11	80	Undirected	2.0	610652
11	88	Undirected	1.0	4980773
11	93	Undirected	7.0	12589161
11	96	Undirected	1.0	4217380
11	97	Undirected	3.0	11328682
11	99	Undirected	1.0	100354
11	101	Undirected	1.0	12592
11	103	Undirected	14.0	24244611
11	106	Undirected	13.0	32698403
11	112	Undirected	8.0	26904846
11	116	Undirected	5.0	5272435
11	117	Undirected	3.0	7746267
12	13	Undirected	5.0	4141585
12	29	Undirected	3.0	16796808
12	34	Undirected	2.0	2784380
12	35	Undirected	2.0	13624417
12	41	Undirected	1.0	7073862
12	46	Undirected	2.0	771952
12	49	Undirected	3.0	8470373
12	57	Undirected	1.0	764651
12	58	Undirected	1.0	12592
12	60	Undirected	3.0	7856422
12	74	Undirected	1.0	7073862
12	88	Undirected	1.0	764651
12	93	Undirected	1.0	12592
12	99	Undirected	3.0	8857016
12	101	Undirected	1.0	12592
12	103	Undirected	1.0	12592
12	112	Undirected	1.0	6550555
12	117	Undirected	3.0	20418558
12	118	Undirected	1.0	7073862
13	14	Undirected	8.0	3932227
13	15	Undirected	21.0	22209150
13	16	Undirected	4.0	2348755
13	17	Undirected	1.0	896741
13	22	Undirected	2.0	965887
13	23	Undirected	3.0	621378
13	24	Undirected	18.0	17398773
13	25	Undirected	3.0	706725
13	26	Undirected	1.0	61102
13	34	Undirected	9.0	10845797
13	35	Undirected	1.0	295230
13	37	Undirected	1.0	147434
13	38	Undirected	2.0	5169972
13	41	Undirected	4.0	3775795
13	42	Undirected	9.0	17745569
13	44	Undirected	2.0	536947
13	49	Undirected	6.0	5120049
13	51	Undirected	3.0	302001
13	53	Undirected	1.0	204437
13	55	Undirected	11.0	8448998
13	57	Undirected	3.0	480497
13	59	Undirected	2.0	699524
13	60	Undirected	9.0	12363553
13	65	Undirected	1.0	896741
13	68	Undirected	2.0	81021
13	72	Undirected	2.0	81021
13	74	Undirected	1.0	12825
13	79	Undirected	1.0	12825
13	80	Undirected	3.0	1374410
13	84	Undirected	2.0	1008167
13	86	Undirected	1.0	19919
13	87	Undirected	9.0	17500556
13	88	Undirected	35.0	65748927
13	91	Undirected	2.0	208536
13	97	Undirected	4.0	321920
13	99	Undirected	4.0	3734853
13	101	Undirected	1.0	61102
13	104	Undirected	1.0	12825
13	105	Undirected	7.0	2237433
13	107	Undirected	4.0	7009880
13	108	Undirected	17.0	14923685
13	109	Undirected	18.0	23064742
13	110	Undirected	3.0	457296
14	15	Undirected	6.0	3984070
14	16	Undirected	4.0	2117694
14	17	Undirected	4.0	5030629
14	24	Undirected	14.0	8189720
14	25	Undirected	1.0	556960
14	42	Undirected	1.0	395371
14	51	Undirected	2.0	10684342
14	55	Undirected	1.0	124188
14	61	Undirected	1.0	402902
14	65	Undirected	5.0	12045824
14	68	Undirected	1.0	4820424
14	73	Undirected	2.0	10175729
14	80	Undirected	1.0	13061
14	81	Undirected	2.0	1023588
14	87	Undirected	7.0	6707920
14	102	Undirected	4.0	2314308
14	105	Undirected	4.0	5046864
14	107	Undirected	1.0	372234
14	108	Undirected	1.0	711979
14	109	Undirected	12.0	13678664
14	110	Undirected	6.0	6735533
14	116	Undirected	2.0	886603
15	16	Undirected	5.0	4247230
15	20	Undirected	5.0	2506914
15	23	Undirected	2.0	522814
15	24	Undirected	22.0	25572343
15	25	Undirected	1.0	101608
15	34	Undirected	3.0	954862
15	51	Undirected	3.0	302001
15	53	Undirected	3.0	7167367
15	55	Undirected	1.0	450811
15	74	Undirected	1.0	7071238
15	84	Undirected	1.0	995342
15	85	Undirected	2.0	5940118
15	87	Undirected	1.0	995342
15	88	Undirected	8.0	16890960
15	92	Undirected	1.0	101608
15	97	Undirected	4.0	1793904
15	104	Undirected	1.0	101608
15	105	Undirected	4.0	3511520
15	107	Undirected	2.0	522814
15	108	Undirected	4.0	1436809
15	109	Undirected	2.0	2904339
15	110	Undirected	2.0	957631
16	18	Undirected	1.0	4884594
16	24	Undirected	9.0	8924335
16	25	Undirected	5.0	1951888
16	26	Undirected	4.0	1067735
16	29	Undirected	1.0	397354
16	34	Undirected	3.0	1238346
16	42	Undirected	2.0	1155923
16	53	Undirected	1.0	451951
16	60	Undirected	2.0	1302356
16	65	Undirected	2.0	1167107
16	66	Undirected	1.0	4884594
16	80	Undirected	1.0	4884594
16	84	Undirected	1.0	451951
16	87	Undirected	1.0	37497
16	91	Undirected	1.0	712184
16	92	Undirected	1.0	595238
16	97	Undirected	3.0	6598761
16	105	Undirected	3.0	2899451
16	108	Undirected	9.0	5381688
16	109	Undirected	3.0	2255513
16	110	Undirected	6.0	3836331
17	27	Undirected	1.0	991283
17	40	Undirected	1.0	1363268
17	42	Undirected	2.0	1071231
