Id	Label	Num
-475109	bohndiek, dr se	2	
-384391	boies, dr a	3	
56494	boiten, dr e	1	
-428479	bokhove, professor o	2	
-491782	bolton, dr r	1	
48606	bond, professor g	2	
68917	bond, professor ip	3	
-2464	bonev, dr b	1	
-188500	bongs, professor k	1	
-485347	bonilla, mr rs	1	
-304211	bonini, dr n	2	
-19751	bontcheva, professor k	1	
108198	book, professor d	3	
-161443	booker, dr ar	1	
21338	booker-milburn, professor ki	2	
62227	booth, dr c	2	
106108	booth, professor m	3	
1655	boothroyd, professor at	2	
40963	borchers, professor dl	1	
125145	bordbar, dr b	1	
-431456	borgh, dr m o	1	
78842	borghesi, professor m	2	
-189494	borgo, dr r	1	
27091	borthwick, professor agl	1	
-165362	bos, dr j	1	
81210	bose, professor s	3	
-212492	botnar, professor rm	2	
38304	bouchard, professor pj	1	
-524334	bouganis, dr a	1	
-436909	boulatov, dr r	1	
-222675	bountra, professor c	1	
-88032	bourlakis, professor m	1	
59415	boussakta, professor s	1	
52426	boutelle, professor mg	1	
-323885	boutin, dr h	1	
32020	bowditch, professor b	1	
60157	bowen, professor c	3	
-115191	bowen, professor hv	1	
40837	bowen, professor p	3	
72898	bowen, professor p	4	
90582	bower, professor d	1	
-423577	bowers, dr j	5	
-198498	bowes, dr dh	1	
32124	bowker, professor m	2	
61323	bowler, professor dr	2	
-425218	bowles, dr j	1	
-454132	bowman, dr e	1	
1732	bowman, professor a w	1	
39348	bowman, professor rm	2	
104770	bowron, dr dt	1	
-113659	bows-larkin, professor a	2	
-208490	bowskill, miss j	1	
1745	bowtell, professor r	1	
-237261	box, dr s	1	
85747	boxall, professor a	1	
36754	boxall, professor c	3	
78529	boxall, professor j	2	
-218454	boyd, dr m	1	
-167345	boyes, professor ed	1	
81943	brace, dr c	1	
-10157	bracewell, dr dg	5	
31161	braden, professor h	1	
41776	bradley, dr di	1	
120809	bradley, ms f	1	
1809	bradley, professor d	1	
1799	bradley, professor ddc	5	
