Id,Label,Num,Val
-304211,bonini, dr n,2,1045842
108198,book, professor d,3,7798420
-161443,booker, dr ar,1,2246114
21338,booker-milburn, professor ki,2,13354676
62227,booth, dr c,2,1392887
106108,booth, professor m,3,4946042
1655,boothroyd, professor at,2,2224218
40963,borchers, professor dl,1,318915
125145,bordbar, dr b,1,573842
78842,borghesi, professor m,2,6504793
27091,borthwick, professor agl,1,745542
81210,bose, professor s,3,12450867
-212492,botnar, professor rm,2,918367
38304,bouchard, professor pj,1,30890
-222675,bountra, professor c,1,3549716
-88032,bourlakis, professor m,1,5699187
59415,boussakta, professor s,1,232936
52426,boutelle, professor mg,1,678310
-323885,boutin, dr h,1,1099975
32020,bowditch, professor b,1,182678
60157,bowen, professor c,3,1047278
-115191,bowen, professor hv,1,3091610
40837,bowen, professor p,3,4068878
72898,bowen, professor p,4,23966756
90582,bower, professor d,1,3567862
-423577,bowers, dr j,5,3232998
-198498,bowes, dr dh,1,394316
32124,bowker, professor m,2,4997549
61323,bowler, professor dr,2,6398603
1732,bowman, professor a w,1,144324
39348,bowman, professor rm,2,3518169
104770,bowron, dr dt,1,478260
-113659,bows-larkin, professor a,2,4920948
-208490,bowskill, miss j,1,3692569
1745,bowtell, professor r,1,148521
-237261,box, dr s,1,1668848
85747,boxall, professor a,1,397354
36754,boxall, professor c,3,13141107
78529,boxall, professor j,2,9745698
-218454,boyd, dr m,1,4494682
-167345,boyes, professor ed,1,1372981
81943,brace, dr c,1,179235
-10157,bracewell, dr dg,5,10134018
31161,braden, professor h,1,1629559
41776,bradley, dr di,1,994241
120809,bradley, ms f,1,493819
1809,bradley, professor d,1,37831
1799,bradley, professor ddc,5,11756160
45429,bradley, professor jw,4,6750669
1801,bradley, professor m,4,23151426
45677,bradley, professor m s a,1,1741953
-157747,bradshaw, professor mj,1,13531962
79518,brady, professor sir jm,2,8744824
54005,brady, professor tm,1,3444605
-286763,braganca, dr rmd,1,211142
-519709,braithwaite, mr pa,1,403478
37967,braithwaite, professor ns,1,233039
-10819,brambilla, professor g,2,10640285
-422193,brambley, dr ej,1,1707194
82213,brammer, professor l,1,2982926
71506,brandani, professor s,4,6777828
68130,brandon, professor np,12,34376882
-1237,brazier, professor re,1,3962860
107644,brechin, professor ek,4,2772084
-115825,brennan, dr aj,3,1526519
-529868,brennan, dr p,1,1074212
36367,brennan, professor fp,3,8468685
-547461,brett, ms a,1,80263
99170,brett, professor d,13,27534461
-426799,brettschneider, dr j a,1,498109
-398776,brevis, dr w,2,632901
90575,breward, professor c,1,4287685
89714,brewster, dr c,1,727672
49445,brewster, professor sa,1,776875
-248888,bricker, miss s,1,397354
73675,bridgeland, professor t,1,1859687
-126294,bridgens, dr bn,2,6840537
1924,bridgwater, professor av,4,6218459
-460230,briggs, dr j,1,854808
77862,briggs, professor gad,1,5296044
-86618,briggs, professor p,4,8101558
-158643,briggs-goode, dr a,1,294021
-512530,brimijoin, dr wo,1,432134
27094,brindle, professor k,1,3074408
34540,bristowe, dr p,2,472153
93532,britovsek, dr gjp,1,2524593
-108747,brittain, dr kr,1,4051357
-429500,britton, dr t b,1,4979741
71064,brocchini, professor sj,2,10386769
71579,brodzki, professor j,1,1218040
-439280,broecker, dr j,2,5544581
-26259,broersma, professor h,1,3429099
-119007,bromiley, dr gd,1,1339398
1994,brookes, mr dm,1,983624
102051,brookes, professor n,1,3567862
-258048,brostow, dr gj,2,1149540
-95896,brotherston, dr j,2,973591
2018,brouard, professor m,1,4663077
-190766,brousseau, dr eb,1,314172
-108034,brown, dr ap,2,1820608
92216,brown, dr cta,2,2181053
-9324,brown, dr e,2,505619
-154576,brown, dr g,2,1687576
-162396,brown, dr jm,1,1415336
59531,brown, dr k,2,9308751
106056,brown, dr m,3,1430506
-372746,brown, dr ma,3,6120655
-109103,brown, dr mr,2,1922306
-262265,brown, dr s,1,333657
-130573,brown, dr twc,1,376994
-244873,brown, professor a,2,7785242
28045,brown, professor a,1,2967189
-463277,brown, professor a w,1,212558
2022,brown, professor ad,1,4981302
2031,brown, professor bm,1,430833
71035,brown, professor cv,1,79502
54142,brown, professor d,1,294021
-116873,brown, professor i,2,5703924
52838,brown, professor rcd,2,1096171
94804,brown, professor sp,2,4334357
58677,brown, professor w,1,940107
-499832,browne, dr a,1,3962860
115916,browne, dr de,1,5004658
63519,browne, professor m,1,466444
2126,bruce, professor d,1,618606
2132,bruce, professor p,9,31239726
-99600,brumby, dr dp,1,1430004
109935,bryan-kinns, dr nj,4,5973950
-540343,bryant, dr m,1,504951
2166,bryce, professor m,2,1459141
47164,bryden, professor i,1,2971756
29222,brydson, professor rmd,1,823184
123557,bryson, professor j,2,3971340
-95655,buchan, dr ag,3,5079356
55620,buckingham shum, dr j,1,382053
40869,buckland, professor st,1,318915
73259,buckle, dr pd,2,1169861
-243022,buckley, dr a r,4,6203381
54064,bucknall, professor rwg,2,4954619
2202,buckton, professor g,1,1330813
125972,budarin, dr vl,1,3182328
-23413,budd, professor pm,3,8174416
-197148,buehl, professor m,2,2638488
2208,buenfeld, professor nr,1,3820872
21285,bugg, professor tdh,2,843600
-24480,buis, dr a,2,2296223
-159231,buitelaar, dr mr,1,5004658
-166876,bujalski, dr w,1,2690768
89626,bull, dr sd,1,2645379
106929,bull, professor amj,1,968486
2212,bull, professor d,3,6597197
50432,bull, professor l,1,298433
45188,bull, professor s,1,1010584
2220,buller, professor g,3,3019386
2221,bullett, professor s,1,150000
35436,bullmore, professor e,1,1923014
83430,bullock, professor s,2,10472194
-425601,bulters, mr do,1,325502
-533001,bunduchi, dr r,1,992269
2244,bundy, professor a,1,1304455
104689,buneman, professor op,3,11951647
-262716,burgess, dr k,2,735419
36435,burke, professor ek,3,9247372
-399202,burke, professor m,6,12220588
-210586,burley, dr j,1,689931
124410,burn, dr j,1,1362874
-107976,burn, professor, j,1,4980126
114536,burnap, dr p,1,1016595
107868,burnell, dr g,4,3934051
-81456,burnet, professor ng,2,2600059
-545777,burnett, dr t,1,1925569
-121731,burns, dr i,2,1287285
-494785,burns, mr s j,1,216275
-8193,burns, professor a,2,1530226
2307,burns, professor a,2,1617424
2320,burr, professor ag,1,585003
-182072,burriesci, dr g,1,1002828
49125,burrows, professor a,2,4165487
-6786,burrows, professor mt,1,947656
2327,burrows, professor r,1,1415336
74191,burt, professor gm,1,763980
115183,burton, dr da,1,4494682
34084,busby, dr j,1,393867
-195876,busby, dr jp,1,3019070
2357,bushby, professor rj,1,689430
-521838,bustard, dr j d,1,5032504
-193870,buswell, dr ra,3,2397085
-115118,butler, dr cc,1,242250
-2552,butler, dr i,1,1339398
2388,butler, professor d,4,17219207
-175276,butler, professor j,1,708302
47793,butler, professor m,1,5644636
2390,butler, professor r,2,1091336
92330,butt, professor jn,1,313231
-2831,buttery, dr ldk,1,3529512
-249870,button, professor m,1,299355
61384,buzza, dr dma,1,654934
71594,buzzard, professor k,1,620441
-388443,byrne, dr c,2,904554
94170,byrne, professor bw,1,3984294
43152,byrne, professor h,1,634068
-190079,byrne, professor wj,2,6626482
-80458,cabral, dr j,1,1616110
-369585,cabras, dr i,1,1160896
-496686,cacuci, professor d,2,4417205
-136460,cadby, dr aj,1,175336
31756,caddick, professor s,1,564009
-123453,cai, dr y,1,409917
77499,cairns, dr pa,2,9629337
-271812,cairns, professor a,2,3229651
2451,cairns, professor ra,1,4494682
118450,caldas, professor c,1,3074408
15688,calder, professor m,4,9308739
84037,caleb-solly, dr p,1,305523
-171365,calleja, dr pj,1,1437554
-87083,calvert, dr j,1,5007845
109313,calvez, dr s,1,4595366
-16231,camara, professor m,1,536933
-516873,cameron, mr k,1,290447
