"/R64490/01","['15810', '12618', '34219', '14484', '38', '619', '2589', '48939', '3767', '22032', '12737', '71135', '45461', '37707', '29835', '30483', '29712', '73276', '59876']"
"S/A000010/1","['106929', '-160927', '-17500', '309', '2637', '15956', '68959', '82706', '119191']"
"/S26514/01","['100735', '9121', '14819', '14822', '7956', '42689', '99876', '1395', '28053', '1488', '1329', '105118', '105119', '105120', '105121', '4757']"
"EP/D080304/2","['98771']"
"EP/D080304/1","['98771']"
"EP/E03733X/1","['100021', '53872']"
"EP/H010106/1","['105731']"
"EP/H009736/1","['82431']"
"/M97466/01","['11357']"
"/N16587/01","['15435', '6408']"
"/R06120/01","['13133', '21686']"
"/R42269/01","['7034']"
"EP/F036647/1","['98328']"
"EP/F035594/1","['14582', '-88928']"
"EP/F037058/1","['39488']"
"EP/G007683/1","['-193341']"
"EP/G008388/1","['45835']"
"EP/F012403/1","['5562', '59921', '14479', '36081', '16823', '41801']"
"/R84290/01","['93654', '3618', '96069', '93623', '57256']"
"/N21710/01","['76707']"
"/N21710/02","['76707']"
"EP/C547241/1","['78301', '5961']"
"EP/C531221/1","['1894', '76234', '51129', '39239']"
"EP/F029292/1","['50725']"
"EP/F029039/1","['49617']"
"/R74970/01","['37147', '58309']"
"/R74963/01","['58309', '72279']"
"/S73853/01","['590']"
"EP/F022026/1","['37973', '-177319', '27176', '5201']"
"/S02617/01","['59002']"
"EP/C53087X/1","['4769', '96775']"
"/M94724/01","['67723']"
"/R27594/01","['74929', '13542', '6851']"
"EP/E024998/2","['2715', '-21558']"
"EP/E024998/1","['2715', '-21558']"
"/N17829/01","['21399']"
"/S95510/01","['85400']"
"EP/F041772/1","['26910', '5961']"
"/R60799/01","['3626']"
"/R06977/01","['4962', '72178', '35009', '80465']"
"/T00986/01","['106915']"
"/R60959/01","['91663']"
"EP/E001041/1","['72561']"
"EP/E000878/1","['15545']"
"/R08292/01","['36776', '66143', '4468', '790', '43152', '43606', '78920']"
"EP/E019455/1","['17139']"
"EP/E017878/1","['33824']"
