"GR/N18413/01","['Materials Characterisation']"
"EP/D064155/1","['Image & Vision Computing']"
"EP/D014573/1","['Instrumentation Eng. & Dev.']"
"EP/C004140/2","['Manufacturing Machine & Plant']"
"EP/C004140/1","['Manufacturing Machine & Plant']"
"EP/E020976/1","['Continuum Mechanics', 'Materials Characterisation', 'Materials testing & eng.']"
"GR/N31337/01","['Biomaterials']"
"GR/N38503/01","['Fluid Dynamics']"
"EP/E034802/1","['Materials Processing', 'Optical Devices & Subsystems']"
"GR/S86938/01","['Coastal & Waterway Engineering', 'Ground Engineering']"
"GR/N18673/01","['Image & Vision Computing']"
"GR/S67050/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/M91525/01","['Image & Vision Computing']"
"EP/F02861X/1","['Instrumentation Eng. & Dev.', 'Lasers & Optics', 'Materials testing & eng.']"
"EP/C533305/1","['Image & Vision Computing']"
"TS/G002916/1","['Artificial Intelligence', 'Computer Graphics & Visual.']"
"GR/S08329/01","['Design & Testing Technology', 'Electronic Devices & Subsys.', 'VLSI Design']"
"GR/S08336/01","['Design & Testing Technology', 'Electronic Devices & Subsys.', 'VLSI Design']"
"GR/R30457/01","['Catalysis & Applied Catalysis', 'Materials Characterisation']"
"GR/T05875/01","['Construction Ops & Management', 'Population Ecology', 'Structural Engineering']"
"EP/C534212/1","['Design Engineering', 'Manufacturing Machine & Plant', 'Microsystems', 'Robotics & Autonomy']"
"EP/F033125/1","['Biomechanics & Rehabilitation', 'Continuum Mechanics', 'Med.Instrument.Device& Equip.', 'Non-linear Systems Mathematics']"
"EP/D038847/1","['Plasmas - Technological']"
"EP/F020295/1","['Materials Characterisation']"
"GR/S70289/01","['Chemical Synthetic Methodology']"
"EP/G030871/1","['Med.Instrument.Device& Equip.']"
"EP/D04779X/1","['Asymmetric Chemistry', 'Biological & Medicinal Chem.', 'Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Co-ordination Chemistry']"
"GR/S20505/01","['Asymmetric Chemistry', 'Chemical Synthetic Methodology']"
"GR/R89837/01","['Biological & Medicinal Chem.', 'Chemical Biology', 'Chemical Structure', 'Chemical Synthetic Methodology', 'Materials Characterisation']"
"GR/T19742/01","['Artificial Intelligence']"
"GR/R83330/01","['Artificial Intelligence']"
"GR/R11216/01","['Information & Knowledge Mgmt']"
"GR/R96514/01","['Fundamentals of Computing']"
"GR/R04324/01","['Combustion']"
"GR/R04089/01","['Materials Characterisation']"
"GR/R12695/01","['Coastal & Waterway Engineering']"
"EP/D030781/1","['Manufact. Enterprise Ops& Mgmt']"
"EP/E03697X/1","['Chemical Synthetic Methodology', 'Co-ordination Chemistry', 'Materials Synthesis & Growth', 'Physical Organic Chemistry']"
"EP/F013515/1","['Chemical Biology', 'Chemical Structure', 'Gas & Solution Phase Reactions']"
"GR/S74126/01","['Instrumentation Eng. & Dev.', 'VLSI Design']"
"GR/R47769/01","['Condensed Matter Physics']"
"EP/G070466/1","['Electronic Devices & Subsys.', 'Microsystems', 'Optical Devices & Subsystems']"
"DT/E010415/1","['Bioprocess Engineering']"
"EP/F055579/1","['Cognitive Science Appl. in ICT', 'New & Emerging Comp. Paradigms', 'System on Chip', 'VLSI Design']"
"EP/F05551X/1","['Cognitive Science Appl. in ICT', 'New & Emerging Comp. Paradigms', 'System on Chip', 'VLSI Design']"
"EP/E040918/1","['Med.Instrument.Device& Equip.', 'Robotics & Autonomy']"
"EP/C510097/1","['Robotics & Autonomy']"
"EP/F034253/1","['Chemical Synthetic Methodology']"
"EP/G005451/1","['Manufact. Enterprise Ops& Mgmt']"
"DT/F00267X/1","['Med.Instrument.Device& Equip.', 'Optical Devices & Subsystems']"
"GR/R08346/01","['Chemical Structure']"
"GR/R11506/01","['Biomaterials', 'Tissue Engineering']"
"GR/R28232/01","['Eng. Dynamics & Tribology', 'Instrumentation Eng. & Dev.']"
"GR/R28249/01","['Eng. Dynamics & Tribology', 'Instrumentation Eng. & Dev.']"
"EP/E002323/1","['Construction Ops & Management', 'Manufact. Business Strategy', 'Manufacturing Machine & Plant']"
"GR/R64483/01","['Control Engineering', 'Design & Testing Technology', 'Design Processes', 'Manufact. Business Strategy', 'Manufact. Enterprise Ops& Mgmt', 'Transport Ops & Management']"
"GR/R64490/01","['Construction Ops & Management']"
"NS/A000010/1","['Biomaterials', 'Biomechanics & Rehabilitation', 'Med.Instrument.Device& Equip.', 'Tissue Engineering']"
"GR/S26514/01","['Information & Knowledge Mgmt', 'Networks & Distributed Systems']"
"EP/D080304/2","['Carbohydrate Chemistry', 'Chemical Synthetic Methodology']"
"EP/D080304/1","['Carbohydrate Chemistry', 'Chemical Synthetic Methodology']"
"EP/E03733X/1","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"EP/H010106/1","['Chemical Biology', 'Condensed Matter Physics', 'Physical Organic Chemistry']"
"EP/H009736/1","['Chemical Biology', 'Condensed Matter Physics', 'Physical Organic Chemistry']"
"GR/M97466/01","['Chemical Synthetic Methodology']"
"GR/N16587/01","['Combustion', 'Energy Efficiency']"
"GR/R06120/01","['Digital Signal Processing', 'Networks & Distributed Systems']"
"GR/R42269/01","['Bioelectronic Devices', 'Optical Devices & Subsystems']"
"EP/F036647/1","['Artificial Intelligence', 'Cognitive Science Appl. in ICT', 'Logic & Combinatorics', 'Software Engineering']"
"EP/F035594/1","['Artificial Intelligence', 'Cognitive Science Appl. in ICT', 'Logic & Combinatorics', 'Software Engineering']"
"EP/F037058/1","['Artificial Intelligence', 'Cognitive Science Appl. in ICT', 'Logic & Combinatorics', 'Software Engineering']"
"EP/G007683/1","['Cognitive Science Appl. in ICT', 'Software Engineering']"
"EP/G008388/1","['Cognitive Science Appl. in ICT', 'Software Engineering']"
"EP/F012403/1","['Materials Characterisation', 'Materials Processing']"
"GR/R84290/01","['Networks & Distributed Systems']"
"GR/N21710/01","['Combinatorial Chemistry']"
"GR/N21710/02","['Combinatorial Chemistry']"
"EP/C547241/1","['Multiphase Flow']"
"EP/C531221/1","['Chemical Synthetic Methodology', 'Reactor Engineering']"
"EP/F029292/1","['Catalysis & Applied Catalysis', 'Chemical Structure', 'Co-ordination Chemistry']"
"EP/F029039/1","['Catalysis & Applied Catalysis', 'Chemical Structure', 'Co-ordination Chemistry']"
"GR/R74970/01","['Chemical Synthetic Methodology', 'Co-ordination Chemistry']"
"GR/R74963/01","['Chemical Synthetic Methodology', 'Co-ordination Chemistry']"
"GR/S73853/01","['Asymmetric Chemistry', 'Catalysis & Applied Catalysis', 'Chemical Structure']"
"EP/F022026/1","['Biological & Medicinal Chem.', 'Cells', 'Complex fluids & soft solids']"
"GR/S02617/01","['Chemical Synthetic Methodology']"
"EP/C53087X/1","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Surfaces & Interfaces']"
"GR/M94724/01","['Transport Ops & Management']"
"GR/R27594/01","['Control Engineering']"
"EP/E024998/2","['Archaeology of Literate Soc.', 'Computer Graphics & Visual.']"
"EP/E024998/1","['Computer Graphics & Visual.', 'Science-Based Archaeology']"
"GR/N17829/01","['Materials Processing']"
"GR/S95510/01","['Analytical Science', 'Chemical Structure', 'Condensed Matter Physics']"
"EP/F041772/1","['Multiphase Flow']"
